condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,learned_features_label,1000,236550,0.8967533291058972,0.8967533291058972,0.0,0.8854843297695388,0.8854843297695388,0.0,0.9024731895460598,0.9024731895460598,0.0,0.8746679123743,0.8746679123743,0.0,0.9273699313912992,0.9273699313912992,0.0,0.9125062557805655,0.9125062557805655,0.0,,,,,,,,,,,,,0.1373155781018812,0.1373155781018812,0.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,learned_features_label,1000,236550,0.8967533291058972,0.8967533291058972,0.0,0.8854843297695388,0.8854843297695388,0.0,0.9024731895460598,0.9024731895460598,0.0,0.8746679123743,0.8746679123743,0.0,0.9273699313912992,0.9273699313912992,0.0,0.9125062557805655,0.9125062557805655,0.0,,,,,,,,,,,,,0.1373155781018812,0.1373155781018812,0.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,adwin,none,1000,236550,0.9177340942718242,0.89713802578736,0.02059606848446416,0.9109249552194888,0.8864829732340143,0.024441981985474537,0.9146087762569848,0.9002951255976568,0.014313650659327992,0.907688964801222,0.8771458722972616,0.030543092503960367,0.9328258618469808,0.926537825670556,0.006288036176424816,0.9158603303809228,0.908939935039856,0.0069203953410668095,,,,,,,,,,0.855172607511025,0.8863795960787618,-0.03120698856773685,0.1445341852907951,0.1122424097656619,0.032291775525133196
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,hddm_w,none,1000,236550,0.9215303318537308,0.89713802578736,0.024392306066370772,0.9146696713910972,0.8864829732340143,0.028186698157082968,0.9205942661123308,0.9002951255976568,0.020299140514673963,0.9097738562855604,0.8771458722972616,0.0326279839882988,0.9327408517528888,0.926537825670556,0.006203026082332808,0.9183677652627906,0.908939935039856,0.009427830222934586,,,,,,,,,,0.8184601556136064,0.8863795960787618,-0.06791944046515541,0.1805781566467113,0.1122424097656619,0.06833574688104942
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,hellinger,none,1000,236550,0.910716550412175,0.89713802578736,0.013578524624815014,0.9015511751491324,0.8864829732340143,0.015068201915118151,0.9153202605935028,0.9002951255976568,0.015025134995846012,0.892081389863399,0.8771458722972616,0.014935517566137424,0.9291903957968626,0.926537825670556,0.002652570126306597,0.9133446152844898,0.908939935039856,0.004404680244633807,,,,,,,,,,0.8511277773096262,0.8863795960787618,-0.035251818769135634,0.148545153247839,0.1122424097656619,0.036302743482177116
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,d3_oof,none,1000,236550,0.9175861340097232,0.89713802578736,0.020448108222363204,0.9107631671411542,0.8864829732340143,0.02428019390713998,0.9144542620856536,0.9002951255976568,0.014159136487996826,0.9075217205789712,0.8771458722972616,0.030375848281709583,0.932594514680231,0.926537825670556,0.0060566890096750425,0.915846019523781,0.908939935039856,0.006906084483924935,,,,,,,,,,0.8711272155276537,0.8863795960787618,-0.015252380551108113,0.128450502366272,0.1122424097656619,0.01620809260061011
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,adwin,learned_features,1000,236550,0.9184908053265696,0.8965546396110758,0.021936165715493727,0.911462183482182,0.8853739759381809,0.026088207544001096,0.9167635002954714,0.9017307387677314,0.015032761527740024,0.9070158876650138,0.8748441362515511,0.032171751413462735,0.9328661920828496,0.9256565256010354,0.007209666481814203,0.9172451380260612,0.9087107195052356,0.008534418520825593,,,,,,,,,,0.8168590769922193,0.838600039324738,-0.021740962332518765,0.1873559957999293,0.1640615280494055,0.023294467750523795
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,hddm_w,learned_features,1000,236550,0.9238427393785668,0.8965546396110758,0.027288099767490914,0.9173145075750598,0.8853739759381809,0.03194053163687893,0.922441627760068,0.9017307387677314,0.02071088899233664,0.9129805177644644,0.8748441362515511,0.03813638151291332,0.9335215940044136,0.9256565256010354,0.007865068403378195,0.9199542076408456,0.9087107195052356,0.011243488135609936,,,,,,,,,,0.7450352518187692,0.838600039324738,-0.09356478750596886,0.2554080886195005,0.1640615280494055,0.09134656057009499
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,hellinger,learned_features,1000,236550,0.914855210314944,0.8965546396110758,0.018300570703868146,0.906854656345596,0.8853739759381809,0.02148068040741513,0.9159695649482128,0.9017307387677314,0.014238826180481445,0.8999206457987861,0.8748441362515511,0.02507650954723495,0.9298613842122684,0.9256565256010354,0.004204858611232987,0.914869734956194,0.9087107195052356,0.006159015450958316,,,,,,,,,,0.8530659251144631,0.838600039324738,0.014465885789725075,0.1486745393109694,0.1640615280494055,-0.01538698873843608
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,0.0,d3_oof,learned_features,1000,236550,0.8965546396110758,0.8965546396110758,0.0,0.8853739759381809,0.8853739759381809,0.0,0.9017307387677314,0.9017307387677314,0.0,0.8748441362515511,0.8748441362515511,0.0,0.9256565256010354,0.9256565256010354,0.0,0.9087107195052356,0.9087107195052356,0.0,,,,,,,,,,0.838600039324738,0.838600039324738,0.0,0.1640615280494055,0.1640615280494055,0.0
