stream,detector,filter,population,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
RBF_I,d3_oof,none,attacked,0.6550428898218482,0.6573992735486321,-0.002356383726783922,0.6545836403604565,0.6569983734499916,-0.0024147330895351407,0.6578879105152063,0.6599888538363102,-0.0021009433211039304,0.6545082908804468,0.6570438438590253,-0.002535552978578363,0.8527309038183937,0.8540223359022184,-0.0012914320838247554,0.697827391686995,0.70139773512077,-0.003570343433774955,,,,,,,,,,0.6981994493630199,0.7212658643747161,-0.023066415011696192,0.24635102524527044,0.231705942001644,0.014645083243626443
RBF_I,d3_oof,none,clean,0.6873599661805114,0.6869400408652152,0.00041992531529622124,0.6864430442176057,0.6864901552363382,-4.7111018732448606e-05,0.6883368123144908,0.6881779537107521,0.00015885860373883917,0.6858299201078454,0.6862698066134673,-0.0004398865056218411,0.872513500418957,0.8706776669301869,0.0018358334887700705,0.7384208090112865,0.7392376430067052,-0.0008168339954186162,,,,,,,,,,,,,0.19946452476572954,0.18875502008032122,0.010709504685408303
RBF_I,hddm_w,learned_features,attacked,0.6213077876636653,0.6525518896724548,-0.031244102008789538,0.6198586853568958,0.6518273389145112,-0.031968653557615405,0.6242652221525665,0.6553623659939705,-0.031097143841403885,0.6192388307508881,0.6517635509351548,-0.03252472018426674,0.8306324744144583,0.8508907746793578,-0.020258300264899585,0.6521775516788764,0.6963588733950979,-0.04418132171622163,,,,,,,,,,0.5804099312884311,0.6851653747395097,-0.10475544345107866,0.3374540190927256,0.25847442102346335,0.07897959806926227
RBF_I,hddm_w,learned_features,clean,0.6558289297541041,0.6656647643204396,-0.009835834566335485,0.6550010922823982,0.6649083854064157,-0.009907293124017391,0.6567971794710203,0.6674752272216967,-0.010678047750676415,0.6554274636580865,0.6641810554105386,-0.008753591752452236,0.8545027119724894,0.8611481763992556,-0.006645464426766205,0.6973412064561084,0.7182535536289719,-0.0209123471728635,,,,,,,,,,,,,0.3157711547946171,0.2537574860846896,0.062013668709927465
RBF_I,hddm_w,learned_features_label,attacked,0.6150115018953308,0.6526144859309142,-0.03760298403558343,0.6133175435269871,0.6513442775689812,-0.038026734041994144,0.6196748335735752,0.6567236305653438,-0.0370487969917686,0.6137049655290909,0.6518569301513438,-0.03815196462225282,0.8294711292883196,0.8498743707232098,-0.020403241434890317,0.6481224161425071,0.6946890726536049,-0.046566656511097836,,,,,,,,,,0.5842058641060451,0.6871459299922001,-0.102940065886155,0.3230681403056621,0.2456834920539647,0.07738464825169745
RBF_I,hddm_w,learned_features_label,clean,0.6630888466145283,0.6742746424293665,-0.011185795814838287,0.6624315846069325,0.6736290825060828,-0.01119749789915018,0.6645811780193435,0.6765023148888737,-0.011921136869530188,0.6627107980933545,0.6734009802884117,-0.010690182195057166,0.8589550291888948,0.8642825324221555,-0.0053275032332606624,0.7079981498902285,0.7237983173820522,-0.01580016749182389,,,,,,,,,,,,,0.27957725639399705,0.2343056436271401,0.04527161276685695
RBF_I,hddm_w,none,attacked,0.6298079734971064,0.6573992735486321,-0.02759130005152585,0.6281232571509104,0.6569983734499916,-0.02887511629908115,0.6330120126335514,0.6599888538363102,-0.02697684120275883,0.6278861261126657,0.6570438438590253,-0.02915771774635964,0.8373012280339663,0.8540223359022184,-0.01672110786825208,0.6646906450746574,0.70139773512077,-0.036707090046112514,,,,,,,,,,0.6393888801694118,0.7212658643747161,-0.08187698420530434,0.28885454691922907,0.231705942001644,0.057148604917585055
RBF_I,hddm_w,none,clean,0.67906855492144,0.6869400408652152,-0.007871485943775144,0.6783713674815249,0.6864901552363382,-0.00811878775481334,0.6803369143513698,0.6881779537107521,-0.00784103935938226,0.6779768207458323,0.6862698066134673,-0.008292985867634902,0.8668942492634363,0.8706776669301869,-0.003783417666750758,0.7298867135043959,0.7392376430067052,-0.009350929502309277,,,,,,,,,,,,,0.24497991967871482,0.18875502008032122,0.0562248995983936
RBF_I,hellinger,learned_features,attacked,0.646880000581697,0.6525518896724548,-0.005671889090757837,0.6458173484029316,0.6518273389145112,-0.006009990511579657,0.6492429959312364,0.6553623659939705,-0.0061193700627339975,0.64556958303598,0.6517635509351548,-0.006193967899174948,0.8460658849550987,0.8508907746793578,-0.004824889724259189,0.6852301238841387,0.6963588733950979,-0.011128749510959194,,,,,,,,,,0.6635038201732996,0.6851653747395097,-0.02166155456621013,0.2820987572688209,0.25847442102346335,0.023624336245357574
RBF_I,hellinger,learned_features,clean,0.667247234552244,0.6656647643204396,0.00158247023180443,0.6668315715724397,0.6649083854064157,0.001923186166023938,0.6687328575070676,0.6674752272216967,0.0012576302853708106,0.6663534402625086,0.6641810554105386,0.0021723848519700217,0.8624997025792016,0.8611481763992556,0.001351526179946087,0.72068686703241,0.7182535536289719,0.0024333134034381456,,,,,,,,,,,,,0.23098992461072357,0.2537574860846896,-0.022767561473966042
