stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_rows,status,folder
radar,concept,severe,,1163742248.0,1.0,radar__evaluation,radar__evaluation__concept__severe__a1,56945,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__severe__a1
radar,concept,severe,,3789935020.0,2.0,radar__evaluation,radar__evaluation__concept__severe__a2,57870,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__severe__a2
radar,concept,severe,,3335947267.0,3.0,radar__evaluation,radar__evaluation__concept__severe__a3,55413,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__severe__a3
radar,splice,moderate,,424767608.0,0.0,radar__evaluation,radar__evaluation__splice__moderate__a0,65669,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__moderate__a0
radar,concept,severe,,948131781.0,4.0,radar__evaluation,radar__evaluation__concept__severe__a4,56980,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__concept__severe__a4
radar,splice,moderate,,3027246665.0,1.0,radar__evaluation,radar__evaluation__splice__moderate__a1,64526,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__moderate__a1
radar,splice,moderate,,2843988057.0,2.0,radar__evaluation,radar__evaluation__splice__moderate__a2,63099,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__moderate__a2
radar,splice,moderate,,3964723791.0,3.0,radar__evaluation,radar__evaluation__splice__moderate__a3,65283,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__moderate__a3
radar,splice,moderate,,216158045.0,4.0,radar__evaluation,radar__evaluation__splice__moderate__a4,64134,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__moderate__a4
radar,splice,severe,,1946032787.0,0.0,radar__evaluation,radar__evaluation__splice__severe__a0,57119,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__severe__a0
radar,splice,severe,,2444082711.0,1.0,radar__evaluation,radar__evaluation__splice__severe__a1,56440,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__severe__a1
radar,splice,severe,,1638213230.0,2.0,radar__evaluation,radar__evaluation__splice__severe__a2,56690,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__severe__a2
radar,splice,severe,,2515960843.0,3.0,radar__evaluation,radar__evaluation__splice__severe__a3,56822,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__severe__a3
radar,splice,severe,,2498603841.0,4.0,radar__evaluation,radar__evaluation__splice__severe__a4,57600,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__splice__severe__a4
