dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,6,immediate,True,hellinger,-4.118060670439516,0.6382278571862466,-15.985691835697105,14.240411440609499
RBF,0,confirmed,False,adwin,-5.832999182752492,-5.874302015950428,,0.0
RBF,0,confirmed,False,d3_oof,-3.627112477008295,-3.712973472151182,,0.0
RBF,0,confirmed,False,hddm_w,-8.972476632678724,-9.12526725759516,,0.0
RBF,0,confirmed,False,hellinger,-5.802866356568855,-5.864239896735043,,0.0
RBF,0,confirmed,True,adwin,0.8148857035407575,0.7903058303785016,,3.0789825970548903
RBF,0,confirmed,True,d3_oof,-1.5244701410625616,-1.6704833205536953,,3.0789825970548867
RBF,0,confirmed,True,hddm_w,-1.3568081749527099,-1.362089116655352,,5.087014725568943
RBF,0,confirmed,True,hellinger,-0.9056725147991829,-0.9161706106204185,,0.6693440428380169
RBF,0,immediate,False,adwin,-14.832292790817874,-15.321477450314775,,0.0
RBF,0,immediate,False,d3_oof,-10.365150111509786,-10.608713837362187,,0.0
RBF,0,immediate,False,hddm_w,-16.117248975493975,-16.599537235197822,,0.0
RBF,0,immediate,False,hellinger,-14.684613252070207,-15.12831116368244,,0.0
RBF,0,immediate,True,adwin,-7.359657560492088,-7.507709052244304,,9.236947791164662
RBF,0,immediate,True,d3_oof,-0.7647884616595749,-0.8438765748734367,,1.3386880856760364
RBF,0,immediate,True,hddm_w,-14.211441002375679,-14.645820799698086,,24.364123159303883
RBF,0,immediate,True,hellinger,-6.05178387769519,-6.225869522410725,,10.843373493975905
RBF,1,confirmed,False,adwin,-3.7379432371423937,-3.8442755252849015,0.0,0.0
RBF,1,confirmed,False,d3_oof,-1.633730518073458,-1.6419052641068463,0.0,0.0
RBF,1,confirmed,False,hddm_w,-9.839659612323233,-10.10891808985743,0.0,0.0
RBF,1,confirmed,False,hellinger,-5.025913805934353,-5.222520874793176,0.0,0.0
RBF,1,confirmed,True,adwin,0.252455534822027,0.14618344582577603,0.6965252576279927,-0.6644975607843643
