dataset,base_key,attack_seed,category,mode,level,series,reference,metric,difference
RADAR,radar,1,6,splice,severe,rl,immediate,macro_f1,0.5249738460906483
RADAR,radar,1,6,splice,severe,rl,immediate,macro_recall,-0.04004121453695664
RADAR,radar,1,6,splice,severe,rl,immediate,roc_auc,0.047154183831275565
RADAR,radar,1,6,splice,severe,rl,confirmed,accuracy,0.671213073876431
RADAR,radar,1,6,splice,severe,rl,confirmed,macro_f1,1.8774363302261676
RADAR,radar,1,6,splice,severe,rl,confirmed,macro_recall,1.8760122868993312
RADAR,radar,1,6,splice,severe,rl,confirmed,roc_auc,-0.00812159384105604
RADAR,radar,1,6,splice,severe,rl_alarm,none,accuracy,-5.643420517588227
RADAR,radar,1,6,splice,severe,rl_alarm,none,macro_f1,1.5983666059627921
RADAR,radar,1,6,splice,severe,rl_alarm,none,macro_recall,0.34870267138731315
RADAR,radar,1,6,splice,severe,rl_alarm,none,roc_auc,-0.11886732365013819
RADAR,radar,1,6,splice,severe,rl_alarm,immediate,accuracy,4.4881888353279775
