dataset,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,5,splice,moderate,none,seconds_per_100k,203.4324862696334,14.132867632005881,3,3
RADAR,5,splice,moderate,rl,accuracy,0.6066056689864617,0.013381886212383533,3,3
RADAR,5,splice,moderate,rl,clean_withhold_rate,0.38111925420138765,0.006193218895048401,3,3
RADAR,5,splice,moderate,rl,macro_f1,0.47423081253646465,0.026687153815012313,3,3
RADAR,5,splice,moderate,rl,macro_recall,0.46529193297703175,0.030882583981471985,3,3
RADAR,5,splice,moderate,rl,poison_admission_rate,0.5779796799436805,0.016876465749720362,3,3
RADAR,5,splice,moderate,rl,resets_per_100k,28.307658172764732,1.0436061653238047,3,3
RADAR,5,splice,moderate,rl,roc_auc,0.7472850100416126,0.0077130257519436645,3,3
RADAR,5,splice,moderate,rl,seconds_per_100k,53.233560903976276,1.0809211759861832,3,3
RADAR,5,splice,moderate,rl_alarm,accuracy,0.6225809776885297,0.005994265581673535,3,3
RADAR,5,splice,moderate,rl_alarm,clean_withhold_rate,0.32766485838610143,0.007882737948350248,3,3
RADAR,5,splice,moderate,rl_alarm,macro_f1,0.47971862330473575,0.006016135285071927,3,3
RADAR,5,splice,moderate,rl_alarm,macro_recall,0.472119041285684,0.012448544394758548,3,3
RADAR,5,splice,moderate,rl_alarm,poison_admission_rate,0.6364468954929577,0.03147605102087685,3,3
RADAR,5,splice,moderate,rl_alarm,resets_per_100k,36.03209607091997,0.4764077946414991,3,3
RADAR,5,splice,moderate,rl_alarm,roc_auc,0.7748821542537186,0.00872745309758447,3,3
RADAR,5,splice,moderate,rl_alarm,seconds_per_100k,135.2786955991443,7.128179063383787,3,3
RADAR,6,splice,severe,confirmed,accuracy,0.6165198926444092,0.01704721041572004,3,3
RADAR,6,splice,severe,confirmed,clean_withhold_rate,0.16210131149447513,0.024054898109554596,3,3
RADAR,6,splice,severe,confirmed,macro_f1,0.47190257680946085,0.02899356921620553,3,3
RADAR,6,splice,severe,confirmed,macro_recall,0.45998221810930023,0.02890537196233935,3,3
RADAR,6,splice,severe,confirmed,poison_admission_rate,0.8165490747108564,0.020049041305739455,3,3
RADAR,6,splice,severe,confirmed,resets_per_100k,6.8763542120076275,0.7810037064649792,3,3
RADAR,6,splice,severe,confirmed,roc_auc,0.8218624803026606,0.024186578341198698,3,3
RADAR,6,splice,severe,confirmed,seconds_per_100k,108.81394778371684,22.473437441339716,3,3
RADAR,6,splice,severe,immediate,accuracy,0.5910163518049639,0.02467244202917988,3,3
RADAR,6,splice,severe,immediate,clean_withhold_rate,0.42511347527104976,0.0032009714122907523,3,3
RADAR,6,splice,severe,immediate,macro_f1,0.4696195259883822,0.01676156009318785,3,3
RADAR,6,splice,severe,immediate,macro_recall,0.45985436769572985,0.01899998911191765,3,3
RADAR,6,splice,severe,immediate,poison_admission_rate,0.5196468548448889,0.02531028558890387,3,3
RADAR,6,splice,severe,immediate,resets_per_100k,35.55075127607943,1.0586012751745497,3,3
RADAR,6,splice,severe,immediate,roc_auc,0.7453945586921972,0.010772706415169054,3,3
RADAR,6,splice,severe,immediate,seconds_per_100k,48.249933746345526,6.181106363484055,3,3
RADAR,6,splice,severe,none,accuracy,0.6851706600905407,0.014836869081776602,3,3
RADAR,6,splice,severe,none,clean_withhold_rate,0.07506831354782971,0.009269425183730851,3,3
RADAR,6,splice,severe,none,macro_f1,0.4764596375115604,0.02824631147349231,3,3
RADAR,6,splice,severe,none,macro_recall,0.47284055708169986,0.019621699931913168,3,3
RADAR,6,splice,severe,none,poison_admission_rate,0.9220204270824967,0.016720257372450822,3,3
RADAR,6,splice,severe,none,resets_per_100k,0.0,0.0,3,3
RADAR,6,splice,severe,none,roc_auc,0.9121338371342391,0.004413970743492425,3,3
RADAR,6,splice,severe,none,seconds_per_100k,213.19000729582027,38.12830977446751,3,3
RADAR,6,splice,severe,rl,accuracy,0.6067439518402534,0.008416128236309245,3,3
RADAR,6,splice,severe,rl,clean_withhold_rate,0.3894582232054517,0.016234557425357274,3,3
RADAR,6,splice,severe,rl,macro_f1,0.4696344572447324,0.0051391108163552236,3,3
RADAR,6,splice,severe,rl,macro_recall,0.4533034885680114,0.0048802281223417655,3,3
RADAR,6,splice,severe,rl,poison_admission_rate,0.5697747975050036,0.007844038224010558,3,3
RADAR,6,splice,severe,rl,resets_per_100k,29.224505401032417,0.8449805521192897,3,3
RADAR,6,splice,severe,rl,roc_auc,0.767883781943692,0.02298366591790431,3,3
RADAR,6,splice,severe,rl,seconds_per_100k,67.96771344261889,9.845990324997915,3,3
RADAR,6,splice,severe,rl_alarm,accuracy,0.6223197193613518,0.011563034347234193,3,3
RADAR,6,splice,severe,rl_alarm,clean_withhold_rate,0.3273278010663332,0.006597111815238078,3,3
RADAR,6,splice,severe,rl_alarm,macro_f1,0.4751665817395854,0.014902242925776655,3,3
RADAR,6,splice,severe,rl_alarm,macro_recall,0.4675385390860187,0.01650556989396294,3,3
RADAR,6,splice,severe,rl_alarm,poison_admission_rate,0.638794765030322,0.00845216029946543,3,3
RADAR,6,splice,severe,rl_alarm,resets_per_100k,35.57367245678612,0.4420877235299003,3,3
RADAR,6,splice,severe,rl_alarm,roc_auc,0.7881198387223508,0.007003586345795476,3,3
RADAR,6,splice,severe,rl_alarm,seconds_per_100k,152.34556495322985,8.422633796348418,3,3
RBF,0,clean,none,confirmed,accuracy,0.6815584366459712,0.023713015257337558,3,3
RBF,0,clean,none,confirmed,clean_withhold_rate,0.2248995983935743,0.05564821871707235,3,3
RBF,0,clean,none,confirmed,macro_f1,0.6800913876063569,0.023678123206240315,3,3
RBF,0,clean,none,confirmed,macro_recall,0.6796893979119004,0.022450964716108142,3,3
RBF,0,clean,none,confirmed,poison_admission_rate,,,0,3
RBF,0,clean,none,confirmed,resets_per_100k,0.0,0.0,3,3
RBF,0,clean,none,confirmed,roc_auc,0.8648905511095538,0.015717647907049548,3,3
RBF,0,clean,none,confirmed,seconds_per_100k,30.067744519996143,0.9222962416552843,3,3
RBF,0,clean,none,immediate,accuracy,0.5998130040056427,0.07035578304183696,3,3
RBF,0,clean,none,immediate,clean_withhold_rate,0.286479250334672,0.052260297981106124,3,3
RBF,0,clean,none,immediate,macro_f1,0.597111238780129,0.07058362322769975,3,3
RBF,0,clean,none,immediate,macro_recall,0.5955399049722657,0.06791779107339731,3,3
RBF,0,clean,none,immediate,poison_admission_rate,,,0,3
RBF,0,clean,none,immediate,resets_per_100k,1.7333333333333332,1.2220201853215573,3,3
RBF,0,clean,none,immediate,roc_auc,0.8180260100648198,0.042800229403445036,3,3
