stream,condition,mode,level,left,right,comparison,alarm_rate_difference,poison_alarm_rate_difference,unexposed_alarm_rate_difference,event_recall_difference,detection_delay_difference,seconds_per_100k_difference
RBF_I,RBF_I__s117__instance__severe,instance,severe,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.0677966101694916,,-0.6666666666666667,15.0,0.1546356280353697
RBF_I,RBF_I__s117__instance__severe,instance,severe,hddm_w,hellinger,passive_detector,0.5423728813559322,0.5423728813559322,,0.0,-2.666666666666667,0.09655855494202119
RBF_I,RBF_I__s117__splice__moderate,splice,moderate,adwin,d3_oof,passive_detector,0.30508474576271194,0.5,,0.33333333333333337,-16.166666666666668,-0.1787652853333081
RBF_I,RBF_I__s117__splice__moderate,splice,moderate,adwin,hddm_w,passive_detector,-0.3728813559322034,-0.3928571428571429,,0.0,4.0,-0.13263861668140942
RBF_I,RBF_I__s117__splice__moderate,splice,moderate,adwin,hellinger,passive_detector,0.2203389830508475,0.4642857142857143,,0.0,0.33333333333333304,-0.011446188582340299
RBF_I,RBF_I__s117__splice__moderate,splice,moderate,d3_oof,hddm_w,passive_detector,-0.6779661016949153,-0.8928571428571429,,-0.33333333333333337,20.166666666666668,0.046126668651898683
RBF_I,RBF_I__s117__splice__moderate,splice,moderate,d3_oof,hellinger,passive_detector,-0.0847457627118644,-0.0357142857142857,,-0.33333333333333337,16.5,0.1673190967509678
RBF_I,RBF_I__s117__splice__moderate,splice,moderate,hddm_w,hellinger,passive_detector,0.5932203389830509,0.8571428571428572,,0.0,-3.666666666666667,0.1211924280990691
RBF_I,RBF_I__s117__splice__severe,splice,severe,adwin,d3_oof,passive_detector,0.2203389830508475,0.3103448275862069,,0.0,-14.333333333333336,-0.19203375651462312
RBF_I,RBF_I__s117__splice__severe,splice,severe,adwin,hddm_w,passive_detector,-0.3898305084745763,-0.4482758620689655,,0.0,6.0,-0.1270336798431041
RBF_I,RBF_I__s117__splice__severe,splice,severe,adwin,hellinger,passive_detector,0.1864406779661017,0.3103448275862069,,0.0,-0.3333333333333339,-0.012146603306367399
RBF_I,RBF_I__s117__splice__severe,splice,severe,d3_oof,hddm_w,passive_detector,-0.6101694915254238,-0.7586206896551724,,0.0,20.333333333333336,0.06500007667151902
RBF_I,RBF_I__s117__splice__severe,splice,severe,d3_oof,hellinger,passive_detector,-0.033898305084745804,0.0,,0.0,14.0,0.1798871532082557
RBF_I,RBF_I__s117__splice__severe,splice,severe,hddm_w,hellinger,passive_detector,0.576271186440678,0.7586206896551724,,0.0,-6.333333333333334,0.11488707653673669
