experiment,stream,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E2_RL,RBF_I,hellinger,none_screened,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,hellinger,selected_map,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,SEA_A,adwin,RL_2state,0.8944228123817937,0.903883222522711,0.6636277438783983,0.28000451455083647,,,19.75238095238095,95000.0
E2_RL,SEA_A,adwin,RL_4state,0.8963816006318892,0.9055355399831895,0.5761419426133817,0.34922012349613746,,,20.01904761904762,95000.0
E2_RL,SEA_A,adwin,confirmed_screened,0.8962047255091937,0.9050593014125837,0.6472107799548469,0.3107522061078275,,,2.142857142857143,102690.4761904762
E2_RL,SEA_A,adwin,error_rule,0.8995534677633302,0.9081426066124928,0.4284687153248141,0.48139911134127183,,,9.285714285714286,95000.0
E2_RL,SEA_A,adwin,none_screened,0.8893060094360855,0.899411015046615,0.7522696801647379,0.21337189953647506,,,0.0,95000.0
E2_RL,SEA_A,adwin,selected_map,0.8991737100979875,0.9078699090730024,0.3815408830656277,0.503269889803387,,,13.476190476190476,95000.0
E2_RL,SEA_A,d3_oof,RL_2state,0.8938314374357931,0.9033508156123482,0.6305245908850229,0.29782423158854454,,,21.904761904761905,95000.0
E2_RL,SEA_A,d3_oof,RL_4state,0.8937034478320491,0.9032700962343453,0.6574540012701392,0.28448598412486775,,,18.933333333333334,95000.0
E2_RL,SEA_A,d3_oof,confirmed_screened,0.8895782491873595,0.8996449429485447,0.7505368898038703,0.21695012429184743,,,0.380952380952381,96085.71428571429
E2_RL,SEA_A,d3_oof,error_rule,0.8995534677633302,0.9081426066124928,0.4284687153248141,0.48139911134127183,,,9.285714285714286,95000.0
E2_RL,SEA_A,d3_oof,none_screened,0.8893060094360855,0.899411015046615,0.7522696801647379,0.21337189953647506,,,0.0,95000.0
E2_RL,SEA_A,d3_oof,selected_map,0.8995439463827161,0.9081382464619959,0.42590944316461826,0.4805738173024842,,,9.047619047619047,95000.0
E2_RL,SEA_A,hddm_w,RL_2state,0.8968857006728512,0.906060818318111,0.6006154723135265,0.32495493703439987,,,30.247619047619047,95000.0
E2_RL,SEA_A,hddm_w,RL_4state,0.8991292091590929,0.9079395896436553,0.545936383225469,0.3732014098692922,,,28.26666666666667,95000.0
E2_RL,SEA_A,hddm_w,confirmed_screened,0.8953593244938381,0.9043291700405193,0.6670415244065274,0.2863901883052563,,,2.0000000000000004,101423.80952380954
E2_RL,SEA_A,hddm_w,error_rule,0.8995534677633302,0.9081426066124928,0.4284687153248141,0.48139911134127183,,,9.285714285714286,95000.0
E2_RL,SEA_A,hddm_w,none_screened,0.8893060094360855,0.899411015046615,0.7522696801647379,0.21337189953647506,,,0.0,95000.0
E2_RL,SEA_A,hddm_w,selected_map,0.9025984525283652,0.9111107725181883,0.525315522136353,0.3867640782162001,,,48.238095238095234,95000.0
E2_RL,SEA_A,hellinger,RL_2state,0.8952660475821325,0.9045622127806164,0.5969017903289747,0.3251054944944465,,,22.742857142857144,95000.0
E2_RL,SEA_A,hellinger,RL_4state,0.8958815476575391,0.9051787121890706,0.6105065537257592,0.31962406813594485,,,28.342857142857145,95000.0
E2_RL,SEA_A,hellinger,confirmed_screened,0.8918737474748941,0.9014435281515165,0.7306241992256624,0.22731607874265491,,,0.9523809523809524,97442.85714285714
E2_RL,SEA_A,hellinger,error_rule,0.8995534677633302,0.9081426066124928,0.4284687153248141,0.48139911134127183,,,9.285714285714286,95000.0
E2_RL,SEA_A,hellinger,none_screened,0.8893060094360855,0.899411015046615,0.7522696801647379,0.21337189953647506,,,0.0,95000.0
E2_RL,SEA_A,hellinger,selected_map,0.9002834005315384,0.9088454374050386,0.44967524528506475,0.4685730357199815,,,11.761904761904761,95000.0
E2_RL,radar,adwin,RL_2state,0.23121890371390472,0.7129084375107675,0.6106800961280824,0.38053207543149004,0.6513480444604799,0.24944799624617175,36.44434707003358,94999.75820881089
E2_RL,radar,adwin,RL_4state,0.2280191732374575,0.728167179366454,0.6926619223429008,0.3025265898743947,0.6735443559754918,0.21870580158626632,17.235270722245087,94999.75820881089
E2_RL,radar,adwin,confirmed_screened,0.223968592919558,0.7416797453160425,0.8272763952453276,0.17370137964212798,0.6115237021283185,0.19343778663021485,6.651724958081303,113188.3770481934
E2_RL,radar,adwin,error_rule,0.23174667680497513,0.7121974247423717,0.6054622891275758,0.3694514338124212,0.629303107737292,0.24845992389073565,21.257886587102565,94999.75820881089
E2_RL,radar,adwin,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
