condition,dataset,base_key,attack_seed,mode,level,series,category,source_run,rows,audit_rows,policy,learner_resets,events_path,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k
radar__splice__moderate__a1,RADAR,radar,1.0,splice,moderate,adwin,5,radar__splice__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a1/adwin/alarms.parquet,0.8140495867768595,394,484,284,253,0.8908450704225352,38,29,0.7631578947368421,,,,,0.12788007542952762
radar__splice__moderate__a1,RADAR,radar,1.0,splice,moderate,d3_oof,5,radar__splice__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a1/d3_oof/alarms.parquet,0.030991735537190084,15,484,284,10,0.035211267605633804,38,1,0.02631578947368421,,,,,17.799921444961868
radar__splice__moderate__a1,RADAR,radar,1.0,splice,moderate,hddm_w,5,radar__splice__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a1/hddm_w/alarms.parquet,0.7128099173553719,345,484,284,227,0.7992957746478874,38,27,0.7105263157894737,,,,,1.9652787499810487
radar__splice__moderate__a1,RADAR,radar,1.0,splice,moderate,hellinger,5,radar__splice__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a1/hellinger/alarms.parquet,0.09504132231404959,46,484,284,26,0.09154929577464789,38,3,0.07894736842105263,,,,,0.41020389773239
radar__splice__moderate__a2,RADAR,radar,2.0,splice,moderate,adwin,5,radar__splice__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a2/adwin/alarms.parquet,0.7789256198347108,377,484,274,239,0.8722627737226277,60,37,0.6166666666666667,,,,,0.09580458550767046
radar__splice__moderate__a2,RADAR,radar,2.0,splice,moderate,d3_oof,5,radar__splice__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a2/d3_oof/alarms.parquet,0.0371900826446281,18,484,274,8,0.029197080291970802,60,2,0.03333333333333333,,,,,16.619237426689686
radar__splice__moderate__a2,RADAR,radar,2.0,splice,moderate,hddm_w,5,radar__splice__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a2/hddm_w/alarms.parquet,0.6528925619834711,316,484,274,208,0.7591240875912408,60,28,0.4666666666666667,,,,,1.967938104337309
radar__splice__moderate__a2,RADAR,radar,2.0,splice,moderate,hellinger,5,radar__splice__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/moderate/radar__splice__moderate__a2/hellinger/alarms.parquet,0.08471074380165289,41,484,274,21,0.07664233576642336,60,7,0.11666666666666667,,,,,0.39375822301595187
radar__splice__severe__a0,RADAR,radar,0.0,splice,severe,adwin,6,radar__splice__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a0/adwin/alarms.parquet,0.8388429752066116,406,484,391,336,0.8593350383631714,9,6,0.6666666666666666,,,,,0.09775918841771637
radar__splice__severe__a0,RADAR,radar,0.0,splice,severe,d3_oof,6,radar__splice__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a0/d3_oof/alarms.parquet,0.030991735537190084,15,484,391,14,0.03580562659846547,9,0,0.0,,,,,16.61619711414196
radar__splice__severe__a0,RADAR,radar,0.0,splice,severe,hddm_w,6,radar__splice__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a0/hddm_w/alarms.parquet,0.7479338842975206,362,484,391,304,0.7774936061381074,9,4,0.4444444444444444,,,,,1.8407291553982896
radar__splice__severe__a0,RADAR,radar,0.0,splice,severe,hellinger,6,radar__splice__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a0/hellinger/alarms.parquet,0.0640495867768595,31,484,391,24,0.061381074168797956,9,0,0.0,,,,,0.434193806052923
radar__splice__severe__a1,RADAR,radar,1.0,splice,severe,adwin,6,radar__splice__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a1/adwin/alarms.parquet,0.8491735537190083,411,484,393,352,0.8956743002544529,4,3,0.75,,,,,0.1061269556986262
radar__splice__severe__a1,RADAR,radar,1.0,splice,severe,d3_oof,6,radar__splice__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a1/d3_oof/alarms.parquet,0.02066115702479339,10,484,393,8,0.020356234096692113,4,1,0.25,,,,,16.563440102203607
radar__splice__severe__a1,RADAR,radar,1.0,splice,severe,hddm_w,6,radar__splice__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a1/hddm_w/alarms.parquet,0.7582644628099173,367,484,393,320,0.8142493638676844,4,3,0.75,,,,,2.1370732512323274
radar__splice__severe__a1,RADAR,radar,1.0,splice,severe,hellinger,6,radar__splice__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a1/hellinger/alarms.parquet,0.08264462809917356,40,484,393,29,0.0737913486005089,4,0,0.0,,,,,0.37298700664108575
radar__splice__severe__a2,RADAR,radar,2.0,splice,severe,adwin,6,radar__splice__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a2/adwin/alarms.parquet,0.8760330578512396,424,484,389,352,0.9048843187660668,9,5,0.5555555555555556,,,,,0.1071339221877391
radar__splice__severe__a2,RADAR,radar,2.0,splice,severe,d3_oof,6,radar__splice__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a2/d3_oof/alarms.parquet,0.03305785123966942,16,484,389,10,0.02570694087403599,9,2,0.2222222222222222,,,,,15.961521125395366
radar__splice__severe__a2,RADAR,radar,2.0,splice,severe,hddm_w,6,radar__splice__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a2/hddm_w/alarms.parquet,0.7851239669421488,380,484,389,324,0.8329048843187661,9,5,0.5555555555555556,,,,,2.0992688231047114
radar__splice__severe__a2,RADAR,radar,2.0,splice,severe,hellinger,6,radar__splice__severe__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/splice/severe/radar__splice__severe__a2/hellinger/alarms.parquet,0.0743801652892562,36,484,389,28,0.07197943444730077,9,2,0.2222222222222222,,,,,0.3780372263231732
RBF_I__base_s0__clean__none__anone,RBF,RBF_I__base_s0,,clean,none,adwin,0,RBF_I__base_s0__clean__none__anone__none__none__unguarded,250000,12500,none,0,runs/RBF/clean/none/RBF_I__base_s0__clean__none__anone/adwin/alarms.parquet,0.05220883534136546,13,249,0,0,,53,2,0.03773584905660377,1.0,3.0,3.0,4.333333333333333,0.10552532002329827
RBF_I__base_s0__clean__none__anone,RBF,RBF_I__base_s0,,clean,none,d3_oof,0,RBF_I__base_s0__clean__none__anone__none__none__unguarded,250000,12500,none,0,runs/RBF/clean/none/RBF_I__base_s0__clean__none__anone/d3_oof/alarms.parquet,0.028112449799196786,7,249,0,0,,53,1,0.018867924528301886,1.0,3.0,3.0,16.333333333333332,1.1391255999915302
RBF_I__base_s0__clean__none__anone,RBF,RBF_I__base_s0,,clean,none,hddm_w,0,RBF_I__base_s0__clean__none__anone__none__none__unguarded,250000,12500,none,0,runs/RBF/clean/none/RBF_I__base_s0__clean__none__anone/hddm_w/alarms.parquet,0.3172690763052209,79,249,0,0,,53,18,0.33962264150943394,1.0,3.0,3.0,3.0,0.640321119967848
RBF_I__base_s0__clean__none__anone,RBF,RBF_I__base_s0,,clean,none,hellinger,0,RBF_I__base_s0__clean__none__anone__none__none__unguarded,250000,12500,none,0,runs/RBF/clean/none/RBF_I__base_s0__clean__none__anone/hellinger/alarms.parquet,0.08032128514056225,20,249,0,0,,53,4,0.07547169811320754,1.0,3.0,3.0,13.666666666666666,0.07648660074919462
RBF_I__base_s1__clean__none__anone,RBF,RBF_I__base_s1,,clean,none,adwin,0,RBF_I__base_s1__clean__none__anone__none__none__unguarded,250000,12500,none,0,runs/RBF/clean/none/RBF_I__base_s1__clean__none__anone/adwin/alarms.parquet,0.05622489959839357,14,249,0,0,,53,3,0.05660377358490566,1.0,3.0,3.0,9.666666666666666,0.09498088136315347
RBF_I__base_s1__clean__none__anone,RBF,RBF_I__base_s1,,clean,none,d3_oof,0,RBF_I__base_s1__clean__none__anone__none__none__unguarded,250000,12500,none,0,runs/RBF/clean/none/RBF_I__base_s1__clean__none__anone/d3_oof/alarms.parquet,0.04417670682730924,11,249,0,0,,53,2,0.03773584905660377,1.0,3.0,3.0,4.0,0.9262363602407275
