dataset,category,mode,level,series,metric,mean,sd,defined,runs
RBF,1,instance,moderate,adwin,seconds_per_100k,0.0823904667980969,0.01161969136117178,3,3
RBF,1,instance,moderate,adwin,unexposed_alarm_rate,,,0,3
RBF,1,instance,moderate,d3_oof,alarm_rate,0.032128514056224904,0.01062550727335177,3,3
RBF,1,instance,moderate,d3_oof,detection_delay,23.416666666666668,7.961277814801117,3,3
RBF,1,instance,moderate,d3_oof,event_recall,0.8888888888888888,0.19245008972987532,3,3
RBF,1,instance,moderate,d3_oof,poison_alarm_rate,0.032128514056224904,0.01062550727335177,3,3
RBF,1,instance,moderate,d3_oof,seconds_per_100k,1.0083159469688934,0.17297219869871,3,3
RBF,1,instance,moderate,d3_oof,unexposed_alarm_rate,,,0,3
RBF,1,instance,moderate,hddm_w,alarm_rate,0.5408299866131192,0.024207685836713688,3,3
RBF,1,instance,moderate,hddm_w,detection_delay,1.6666666666666667,0.0,3,3
RBF,1,instance,moderate,hddm_w,event_recall,1.0,0.0,3,3
RBF,1,instance,moderate,hddm_w,poison_alarm_rate,0.5408299866131192,0.024207685836713688,3,3
RBF,1,instance,moderate,hddm_w,seconds_per_100k,0.6774969863394897,0.03032947679401002,3,3
RBF,1,instance,moderate,hddm_w,unexposed_alarm_rate,,,0,3
RBF,1,instance,moderate,hellinger,alarm_rate,0.0856760374832664,0.009274703119512062,3,3
RBF,1,instance,moderate,hellinger,detection_delay,8.777777777777777,4.682512779045662,3,3
RBF,1,instance,moderate,hellinger,event_recall,1.0,0.0,3,3
RBF,1,instance,moderate,hellinger,poison_alarm_rate,0.0856760374832664,0.009274703119512062,3,3
RBF,1,instance,moderate,hellinger,seconds_per_100k,0.07030034726485611,0.003246215804203971,3,3
RBF,1,instance,moderate,hellinger,unexposed_alarm_rate,,,0,3
RBF,2,instance,severe,adwin,alarm_rate,0.04149933065595716,0.004637351559756031,3,3
RBF,2,instance,severe,adwin,detection_delay,11.444444444444445,2.8349668493717948,3,3
RBF,2,instance,severe,adwin,event_recall,1.0,0.0,3,3
RBF,2,instance,severe,adwin,poison_alarm_rate,0.04149933065595716,0.004637351559756031,3,3
RBF,2,instance,severe,adwin,seconds_per_100k,0.09450359946737687,0.022622236674078238,3,3
RBF,2,instance,severe,adwin,unexposed_alarm_rate,,,0,3
RBF,2,instance,severe,d3_oof,alarm_rate,0.03346720214190094,0.006134639484545971,3,3
RBF,2,instance,severe,d3_oof,detection_delay,12.916666666666666,2.0933094478467464,3,3
RBF,2,instance,severe,d3_oof,event_recall,0.8888888888888888,0.19245008972987526,3,3
RBF,2,instance,severe,d3_oof,poison_alarm_rate,0.03346720214190094,0.006134639484545971,3,3
RBF,2,instance,severe,d3_oof,seconds_per_100k,0.9594254938264689,0.02495899145750836,3,3
RBF,2,instance,severe,d3_oof,unexposed_alarm_rate,,,0,3
RBF,2,instance,severe,hddm_w,alarm_rate,0.606425702811245,0.0040160642570281485,3,3
RBF,2,instance,severe,hddm_w,detection_delay,0.7777777777777777,0.19245008972987526,3,3
RBF,2,instance,severe,hddm_w,event_recall,1.0,0.0,3,3
RBF,2,instance,severe,hddm_w,poison_alarm_rate,0.606425702811245,0.0040160642570281485,3,3
RBF,2,instance,severe,hddm_w,seconds_per_100k,0.7186435866169631,0.05303292496154539,3,3
RBF,2,instance,severe,hddm_w,unexposed_alarm_rate,,,0,3
RBF,2,instance,severe,hellinger,alarm_rate,0.0856760374832664,0.009274703119512062,3,3
RBF,2,instance,severe,hellinger,detection_delay,8.777777777777777,4.682512779045662,3,3
RBF,2,instance,severe,hellinger,event_recall,1.0,0.0,3,3
RBF,2,instance,severe,hellinger,poison_alarm_rate,0.0856760374832664,0.009274703119512062,3,3
RBF,2,instance,severe,hellinger,seconds_per_100k,0.07244688008601467,0.01429307056727447,3,3
RBF,2,instance,severe,hellinger,unexposed_alarm_rate,,,0,3
RBF,3,concept,moderate,adwin,alarm_rate,0.4257028112449799,0.020868082018902147,3,3
RBF,3,concept,moderate,adwin,detection_delay,2.8888888888888893,0.5091750772173157,3,3
RBF,3,concept,moderate,adwin,event_recall,1.0,0.0,3,3
RBF,3,concept,moderate,adwin,poison_alarm_rate,0.9763203021333061,0.015975507320951585,3,3
RBF,3,concept,moderate,adwin,seconds_per_100k,0.09831019965931771,0.030035729711016645,3,3
RBF,3,concept,moderate,adwin,unexposed_alarm_rate,,,0,3
RBF,3,concept,moderate,d3_oof,alarm_rate,0.032128514056224904,0.006956027339634047,3,3
RBF,3,concept,moderate,d3_oof,detection_delay,18.027777777777775,8.737027420590376,3,3
RBF,3,concept,moderate,d3_oof,event_recall,0.8888888888888888,0.19245008972987532,3,3
RBF,3,concept,moderate,d3_oof,poison_alarm_rate,0.030210268449525363,0.0006389311640260319,3,3
RBF,3,concept,moderate,d3_oof,seconds_per_100k,1.017252360098064,0.14393671802388394,3,3
RBF,3,concept,moderate,d3_oof,unexposed_alarm_rate,,,0,3
RBF,3,concept,moderate,hddm_w,alarm_rate,0.607764390896921,0.02581968075232387,3,3
RBF,3,concept,moderate,hddm_w,detection_delay,3.111111111111111,2.341256389522831,3,3
RBF,3,concept,moderate,hddm_w,event_recall,1.0,0.0,3,3
RBF,3,concept,moderate,hddm_w,poison_alarm_rate,0.9328757102514375,0.015242435480744476,3,3
RBF,3,concept,moderate,hddm_w,seconds_per_100k,0.7919367870315909,0.022917948181812243,3,3
RBF,3,concept,moderate,hddm_w,unexposed_alarm_rate,,,0,3
RBF,3,concept,moderate,hellinger,alarm_rate,0.07898259705488621,0.010106873407323625,3,3
RBF,3,concept,moderate,hellinger,detection_delay,14.666666666666666,0.8819171036881962,3,3
RBF,3,concept,moderate,hellinger,event_recall,1.0,0.0,3,3
RBF,3,concept,moderate,hellinger,poison_alarm_rate,0.06712428974856248,0.015242435480744486,3,3
RBF,3,concept,moderate,hellinger,seconds_per_100k,0.07330409400165082,0.009664203200827618,3,3
RBF,3,concept,moderate,hellinger,unexposed_alarm_rate,,,0,3
RBF,4,concept,severe,adwin,alarm_rate,0.4257028112449799,0.010625507273351781,3,3
RBF,4,concept,severe,adwin,detection_delay,2.777777777777778,0.6938886664887111,3,3
RBF,4,concept,severe,adwin,event_recall,1.0,0.0,3,3
RBF,4,concept,severe,adwin,poison_alarm_rate,0.9428571428571427,0.028571428571428553,3,3
RBF,4,concept,severe,adwin,seconds_per_100k,0.09859155965968967,0.024593514313419648,3,3
RBF,4,concept,severe,adwin,unexposed_alarm_rate,,,0,3
RBF,4,concept,severe,d3_oof,alarm_rate,0.020080321285140562,0.014480125604273048,3,3
RBF,4,concept,severe,d3_oof,detection_delay,35.55555555555555,21.567454476423325,3,3
RBF,4,concept,severe,d3_oof,event_recall,0.7777777777777777,0.19245008972987523,3,3
RBF,4,concept,severe,d3_oof,poison_alarm_rate,0.01904761904761905,0.016495721976846452,3,3
RBF,4,concept,severe,d3_oof,seconds_per_100k,1.0281624795868993,0.09090485254881615,3,3
RBF,4,concept,severe,d3_oof,unexposed_alarm_rate,,,0,3
RBF,4,concept,severe,hddm_w,alarm_rate,0.6345381526104418,0.02125101454670348,3,3
RBF,4,concept,severe,hddm_w,detection_delay,2.0,0.6666666666666667,3,3
RBF,4,concept,severe,hddm_w,event_recall,1.0,0.0,3,3
RBF,4,concept,severe,hddm_w,poison_alarm_rate,0.9904761904761905,0.009523809523809518,3,3
RBF,4,concept,severe,hddm_w,seconds_per_100k,0.8607077602607508,0.05544315188463377,3,3
RBF,4,concept,severe,hddm_w,unexposed_alarm_rate,,,0,3
RBF,4,concept,severe,hellinger,alarm_rate,0.10174029451137885,0.018109436758324878,3,3
RBF,4,concept,severe,hellinger,detection_delay,9.777777777777779,8.261916197787246,3,3
RBF,4,concept,severe,hellinger,event_recall,1.0,0.0,3,3
RBF,4,concept,severe,hellinger,poison_alarm_rate,0.1111111111111111,0.014547859349066163,3,3
RBF,4,concept,severe,hellinger,seconds_per_100k,0.07337305322289467,0.016225965832035602,3,3
RBF,4,concept,severe,hellinger,unexposed_alarm_rate,,,0,3
RBF,5,splice,moderate,adwin,alarm_rate,0.3681392235609103,0.002318675779878012,3,3
RBF,5,splice,moderate,adwin,detection_delay,3.3333333333333335,3.527668414752787,3,3
RBF,5,splice,moderate,adwin,event_recall,1.0,0.0,3,3
RBF,5,splice,moderate,adwin,poison_alarm_rate,0.8291230477403916,0.015834395299947054,3,3
RBF,5,splice,moderate,adwin,seconds_per_100k,0.08395532037441929,0.015798695216571908,3,3
RBF,5,splice,moderate,adwin,unexposed_alarm_rate,0.0,,1,3
RBF,5,splice,moderate,d3_oof,alarm_rate,0.03614457831325301,0.0040160642570281156,3,3
RBF,5,splice,moderate,d3_oof,detection_delay,13.944444444444443,10.143872443408789,3,3
RBF,5,splice,moderate,d3_oof,event_recall,0.7777777777777778,0.3849001794597505,3,3
RBF,5,splice,moderate,d3_oof,poison_alarm_rate,0.03358121338715638,0.0059571674225249345,3,3
