dataset,series,category,mode,level,profile,metric,mean,sd,defined,realizations
RADAR,hddm_w,0,clean,none,immediate_screened,macro_f1,0.5027966807530381,0.008358129174864,3,3
RADAR,hddm_w,0,clean,none,immediate_screened,macro_recall,0.4980351664148622,0.0064297621018052,3,3
RADAR,hddm_w,0,clean,none,immediate_screened,roc_auc,0.8168349568036156,0.0101490855839219,3,3
RADAR,hddm_w,0,clean,none,immediate_unscreened,accuracy,0.6996616220778072,0.0005822449957777,3,3
RADAR,hddm_w,0,clean,none,immediate_unscreened,macro_f1,0.6666565632131959,0.0066965516949861,3,3
RADAR,hddm_w,0,clean,none,immediate_unscreened,macro_recall,0.6875480702774373,0.0076059648386265,3,3
RADAR,hddm_w,0,clean,none,immediate_unscreened,roc_auc,0.8069469006353414,0.0041432543583508,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_screened,accuracy,0.6340523265348432,0.0203443411496856,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_screened,macro_f1,0.4754739364616847,0.0259706297317468,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_screened,macro_recall,0.454708738969503,0.0223129939581945,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_screened,roc_auc,0.8011882682195325,0.0406368517785096,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_unscreened,accuracy,0.6562673558769133,0.0167491597931454,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_unscreened,macro_f1,0.5316052980991012,0.0302749382085161,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_unscreened,macro_recall,0.513087531040913,0.0284981501822569,3,3
RADAR,hddm_w,1,instance,moderate,confirmed_unscreened,roc_auc,0.8048783220452753,0.0017853159847848,3,3
RADAR,hddm_w,1,instance,moderate,immediate_screened,accuracy,0.6294502348128086,0.0131414877279094,3,3
RADAR,hddm_w,1,instance,moderate,immediate_screened,macro_f1,0.4928530860864812,0.0144082204691888,3,3
RADAR,hddm_w,1,instance,moderate,immediate_screened,macro_recall,0.4774675638119914,0.0152843699409781,3,3
RADAR,hddm_w,1,instance,moderate,immediate_screened,roc_auc,0.8194427527051498,0.005111734013553,3,3
RADAR,hddm_w,1,instance,moderate,immediate_unscreened,accuracy,0.7380517967775052,0.0193115952526433,3,3
RADAR,hddm_w,1,instance,moderate,immediate_unscreened,macro_f1,0.6876644881983426,0.013586180943685,3,3
