dataset,base_key,attack_seed,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,radar,0,4,none,none,0.723556376206369,1.2467966059337532,-1.2957517227952131,-0.017143770969063277,-9.995648011141089,8.24428809748313,0.0,178.18153898991625
RADAR,radar,0,5,adwin,confirmed,2.520101770244021,1.5293194453175674,1.808696939648624,0.03435888955418176,-19.713866151005398,16.22141018357873,-1.0314531318011433,15.466282436586837
RADAR,radar,0,5,adwin,immediate,-6.849631243894327,-16.904613264703443,-20.38474104737332,-0.013541468569233106,-49.142906991959755,41.67242429360315,-40.22667214024462,5.329082398699953
RADAR,radar,0,5,d3_oof,confirmed,-3.534583633025945,-3.7438622059106583,-2.688688419573171,-0.04121713855546283,-19.222437081085797,16.30790253489122,0.6188718790806862,28.179716907376488
RADAR,radar,0,5,d3_oof,immediate,2.6569763072860186,1.5314099364187594,0.6454114430106128,0.002770959765096892,-20.04972447985577,16.64849815500043,-0.20629062636022866,22.831678669352314
RADAR,radar,0,5,hddm_w,confirmed,0.6677330356088418,-1.661382446931603,0.25234872351659887,0.03455995707301196,-18.29919015978715,15.254896541841308,-1.8566156372420597,17.799191010737502
RADAR,radar,0,5,hddm_w,immediate,-7.334328133890134,-17.477513569534768,-20.509326056856438,-0.012378659686247184,-46.2248651477922,39.51190677250464,-41.464415898406,7.750784667701588
RADAR,radar,0,5,hellinger,confirmed,-2.3236465523719496,-4.8783876321344675,-5.4119688055715205,0.03399098263889644,-18.22067782317277,12.35151719867139,-1.2377437581613737,34.522699003409215
RADAR,radar,0,5,hellinger,immediate,-4.149713905379437,-8.283336918882767,-9.020423651712584,-0.001488291237718098,-29.32871952194711,22.30837338082736,-3.5069406481238894,27.064909902601244
RADAR,radar,0,5,none,none,-0.8513059441122461,-2.734339291121235,-0.8966833204305247,-0.0009957756596370437,-5.757571351720725,7.495150798646829,0.0,126.7342575084757
RADAR,radar,0,6,adwin,confirmed,-3.88562656332192,-9.264346674718944,-8.083674755924914,0.015083986470324606,-18.935961105264532,16.56412875666012,-1.650325010881831,24.107501222246285
RADAR,radar,0,6,adwin,immediate,-3.2125258988094596,-13.089548857120603,-15.872994299480869,0.007205709399576321,-50.93018603720745,42.83143928401453,-40.432962766604845,3.046985598859081
RADAR,radar,0,6,d3_oof,confirmed,-0.8529162327833295,-2.3774810706635288,-4.3828439753269555,0.01757940974361527,-12.553815110848255,14.00687197464798,-0.20629062636022882,54.30823231628668
RADAR,radar,0,6,d3_oof,immediate,0.43477794119225477,-1.7422587162536085,-3.9288981314332503,0.0017848775839024444,-13.475738625986066,14.25064134560692,-0.41258125272045754,31.976049018794996
