dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,rl_seed,rl_variant,rl_model_sha256
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__rl__guarded__r17,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113782,0.6107395519103391,0.47052464157368384,0.4502999377802436,0.7659908145879231,0.6060425420549878,0.3342084926276786,18.153575119700136,61.10571447725485,17.0,alarm_persistence,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__rl__guarded__r27,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113394,0.6086569118957392,0.4759550264028364,0.4660927319412401,0.7080776105857007,0.5754081914537867,0.4309187125434381,41.25812527204577,44.860812723160855,27.0,alarm_persistence,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__rl_alarm__guarded__r7,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,109306,0.5867140449377892,0.46961648055939587,0.4515015853939873,0.6935055707674423,0.5016647523226566,0.4616977066732176,53.22298160093903,38.893788754280976,7.0,alarm,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__rl_alarm__guarded__r17,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127069,0.6820592371525802,0.4833776549466635,0.4810854740516518,0.9075706684852016,0.9424242864827928,0.0749515079864683,0.0,319.95175753423524,17.0,alarm,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0,radar__splice__moderate__a0__adwin__rl_alarm__guarded__r27,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,109306,0.5867140449377892,0.46961648055939587,0.4515015853939873,0.6935055707674423,0.5016647523226566,0.4616977066732176,53.22298160093903,38.741064645282265,27.0,alarm,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242
RADAR,radar,0,6,splice,severe,radar__splice__severe__a0,radar__splice__severe__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,116058,0.6229562752949512,0.4680557273477834,0.4619383124955984,0.8430064894403094,0.8106403889473547,0.1656412875666012,7.220171922608008,100.16521671859432,,,
RADAR,radar,0,6,splice,severe,radar__splice__severe__a0,radar__splice__severe__a0__adwin__immediate__guarded,adwin,immediate,True,immediate,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115006,0.6173095296883555,0.4889037071609955,0.4817882636024341,0.7577789316184009,0.4906981396279256,0.4283143928401453,35.27569710759913,44.627151043950775,,,
RADAR,radar,0,6,splice,severe,radar__splice__severe__a0,radar__splice__severe__a0__none__none__guarded,none,none,True,none,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130274,0.6992624877886442,0.4903869140056031,0.4802310099397824,0.917223626265113,0.925098063090879,0.0852844556397785,0.0,211.3595897498612,,,
RADAR,radar,0,6,splice,severe,radar__splice__severe__a0,radar__splice__severe__a0__adwin__rl__guarded__r7,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115740,0.6212493693036039,0.47469993146049405,0.45966548844986743,0.7833282040908862,0.5826382667837915,0.3900687197464798,30.32472207495364,59.095503359449545,7.0,alarm_persistence,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd
RADAR,radar,0,6,splice,severe,radar__splice__severe__a0,radar__splice__severe__a0__adwin__rl__guarded__r17,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,116404,0.6248134748955996,0.45595782163175647,0.44123706288788334,0.7983994336836067,0.5773850422258364,0.3690174933543826,19.597609504221737,64.56113909558853,17.0,alarm_persistence,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a
