dataset,base_key,attack_seed,category,mode,level,series,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,policy_runs,accuracy_training_seed_sd,macro_f1_training_seed_sd,macro_recall_training_seed_sd,roc_auc_training_seed_sd,poison_admission_rate_training_seed_sd,clean_withhold_rate_training_seed_sd,resets_per_100k_training_seed_sd,seconds_per_100k_training_seed_sd
RADAR,radar,1,1,instance,moderate,rl_alarm,0.6223526313809578,0.47073450654044335,0.46051665009622517,0.8004721561770006,0.6910278144032147,0.30946004076323524,38.64511067148286,157.6932862371766,3,0.004626099662844287,0.05613198963833705,0.061700470591364596,0.028091998055225977,0.1909471180219714,0.1909589696331839,33.467647573565266,196.13065345828193
RADAR,radar,1,2,instance,severe,confirmed,0.6045324347998989,0.4447338802835312,0.41250693449141,0.7806200164819149,0.8532269408097525,0.1467679460153196,6.807590669887551,84.23793432943071,1,,,,,,,,
RADAR,radar,1,2,instance,severe,immediate,0.6378136402964301,0.5013630739452378,0.4925317459910281,0.8139771489000331,0.7005583002665602,0.2998397184619941,27.02407205318997,52.41703376769686,1,,,,,,,,
RADAR,radar,1,2,instance,severe,none,0.6497170587002434,0.4601443673975469,0.4318213276628675,0.813078629585042,0.9132160005556954,0.0868336846751104,0.0,250.2122734258841,1,,,,,,,,
RADAR,radar,1,2,instance,severe,rl,0.626526440994334,0.48422657497909105,0.4697723838728513,0.795611301188166,0.6942951495312767,0.30602062366553034,33.9004262651976,61.20378658823311,3,0.0058715912289930335,0.02025010777189732,0.030725349853240293,0.0161913236325243,0.04888547013705927,0.049567298487754034,18.929717666332454,14.093294925074916
RADAR,radar,1,2,instance,severe,rl_alarm,0.632283790392356,0.4864613879290331,0.473711334745389,0.7886493801093376,0.7134724308492011,0.2866881149690954,40.84554401932531,173.59917604773304,3,0.01509765322562066,0.022791208332183642,0.036277810298173695,0.0211563506413477,0.17298300560841195,0.1730790136934573,35.37327875213126,222.28303557982775
RADAR,radar,1,3,concept,moderate,confirmed,0.6510283156259908,0.5027188227600801,0.5024829226996081,0.897205982229756,0.8370573631255717,0.1414863010893603,6.6013000435273215,173.4981842917898,1,,,,,,,,
RADAR,radar,1,3,concept,moderate,immediate,0.6392323772980584,0.503855863750389,0.5181967156889822,0.8301507276941368,0.5341841253248545,0.4017681628306986,36.30715023940027,91.61150835583332,1,,,,,,,,
RADAR,radar,1,3,concept,moderate,none,0.6463260623061999,0.4552753275101303,0.4572812782684834,0.8977975958557851,0.910187725946252,0.07656749119502,0.0,280.6107815320054,1,,,,,,,,
RADAR,radar,1,3,concept,moderate,rl,0.6596320957002596,0.5190733851498549,0.5269442126577982,0.8323709661336784,0.6223799913856101,0.3832742921888224,27.02407205318998,116.9593751731631,3,0.014120603765607392,0.007708192397079834,0.006656067040996511,0.028526379690276632,0.031988902634289856,0.04403687968008134,6.956002459020313,11.237671169577583
RADAR,radar,1,3,concept,moderate,rl_alarm,0.6187717535195246,0.4781822862883882,0.4863132437835172,0.8086125132826844,0.6606414332796144,0.3308505337592486,36.03209607091997,201.74198390383359,3,0.023862731392981566,0.019838008225414334,0.025142419657813053,0.07723654714691805,0.2161134288695345,0.2202155746122217,31.20471054901815,207.0811255145882
RADAR,radar,1,4,concept,severe,confirmed,0.6318807401078025,0.4855916476630818,0.4905875080920715,0.8728613743877622,0.8204177545691906,0.1551245412211858,7.839043801688695,181.05997512132623,1,,,,,,,,
RADAR,radar,1,4,concept,severe,immediate,0.615930696847072,0.4805726117576618,0.4885120086544816,0.8420237002149107,0.5151610095735422,0.4612943002625738,42.28957840384691,111.67584881371154,1,,,,,,,,
RADAR,radar,1,4,concept,severe,none,0.6668386347880761,0.453218082341068,0.4768979388702149,0.8969651249210316,0.891218450826806,0.0877692832170368,0.0,323.83337772022423,1,,,,,,,,
RADAR,radar,1,4,concept,severe,rl,0.658883317838289,0.5163061630796578,0.5223800820795422,0.8760057972974038,0.5968842471714534,0.40309285828268027,28.19305226923127,139.65285141780438,3,0.005746351502758756,0.009600739333496009,0.01469751231284656,0.013594860672757864,0.009853459812893078,0.01877976232698717,3.3602794888312517,5.902188473855191
RADAR,radar,1,4,concept,severe,rl_alarm,0.6253477428288398,0.4692590537788666,0.4817454684678051,0.8391260034175457,0.6400145053669858,0.35131988065706315,34.38177106003814,241.8931461108473,3,0.03593216646237419,0.013891888766514164,0.004198083777110008,0.050090148554593594,0.21754899829908483,0.22824151256562883,29.775487165093654,230.61451970244724
RADAR,radar,1,5,splice,moderate,confirmed,0.6531241771056691,0.5028435022530625,0.4906885164881639,0.8740241634369292,0.7860645985083723,0.1811251590310433,7.01388129624778,88.01954230300029,1,,,,,,,,
RADAR,radar,1,5,splice,moderate,immediate,0.6105943110795836,0.4818999460903586,0.4747353247813882,0.7568413500808118,0.4995647000783539,0.4029494658860812,29.70585019587295,42.37604029269073,1,,,,,,,,
RADAR,radar,1,5,splice,moderate,none,0.7011301529978881,0.5079254187679558,0.5169137919772373,0.920537284163418,0.8672480338953539,0.1127642091197423,0.0,217.67043531447115,1,,,,,,,,
