condition,stream,mode,level,detector,filter,malicious_precision,malicious_recall,benign_fpr,malicious_precision_difference,malicious_recall_difference,benign_fpr_difference
radar__instance__moderate__a2,radar,instance,moderate,hellinger,learned_features,0.3692185404143276,0.5507224898110411,0.20198533271821956,-1.2993041536457639e-05,-7.410151908116003e-05,-1.59081147293183e-05
radar__instance__moderate__a2,radar,instance,moderate,hellinger,learned_features_label,0.4308174785699352,0.7634679510929974,0.2165412576955505,0.06158594511407112,0.2126713597628751,0.014540016862601618
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,none,0.528201182862913,0.8140051871063356,0.15609042172412146,0.0,0.0,0.0
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,oracle_rows,0.46053837819818316,0.8189699888847721,0.2059464532858211,-0.06766280466472979,0.004964801778436501,0.049856031561699626
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,random_rows,0.48632984017329195,0.6155613190070397,0.13957779863508377,-0.041871342689621005,-0.19844386809929593,-0.016512623089037698
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,oracle_blocks,0.27456206384407233,1.0,0.5672197387887561,-0.2536391190188406,0.18599481289366437,0.4111293170646346
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,random_blocks,0.27456206384407233,1.0,0.5672197387887561,-0.2536391190188406,0.18599481289366437,0.4111293170646346
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,learned_features,0.528201182862913,0.8140051871063356,0.15609042172412146,0.0,0.0,0.0
radar__instance__moderate__a2,radar,instance,moderate,d3_oof,learned_features_label,0.3111789713190827,0.7702111893293813,0.36601390369227343,-0.21702221154383028,-0.04379399777695436,0.20992348196815197
radar__instance__moderate__a0,radar,instance,moderate,adwin,none,0.32200779633283605,0.4958132641719155,0.22411352030670845,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,adwin,oracle_rows,0.5074239387866643,0.8255650240829937,0.17204626079763288,0.1854161424538282,0.3297517599110782,-0.052067259509075564
radar__instance__moderate__a0,radar,instance,moderate,adwin,random_rows,0.2697327208185425,0.3828825490922564,0.22253861694850544,-0.052275075514293556,-0.11293071507965913,-0.0015749033582030114
radar__instance__moderate__a0,radar,instance,moderate,adwin,oracle_blocks,0.7730173868388233,0.7808077065579845,0.049219706972526686,0.4510095905059872,0.28499444238606897,-0.17489381333418175
radar__instance__moderate__a0,radar,instance,moderate,adwin,random_blocks,0.7730173868388233,0.7808077065579845,0.049219706972526686,0.4510095905059872,0.28499444238606897,-0.17489381333418175
radar__instance__moderate__a0,radar,instance,moderate,adwin,learned_features,0.32200779633283605,0.4958132641719155,0.22411352030670845,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,adwin,learned_features_label,0.4983434251113904,0.6464616524638755,0.13970506355291834,0.17633562877855435,0.15064838829196003,-0.0844084567537901
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,none,0.4226289517470882,0.6211189329381253,0.18216382176548257,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,oracle_rows,0.45624436138677665,0.7869581326417192,0.20134900812904663,0.033615409639688454,0.16583919970359395,0.01918518636356406
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,random_rows,0.2345643273644597,0.42030381622823265,0.29444329552504733,-0.1880646243826285,-0.2008151167098926,0.11227947375956476
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,oracle_blocks,0.7730173868388233,0.7808077065579845,0.049219706972526686,0.35038843509173506,0.15968877361985923,-0.13294411479295587
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,random_blocks,0.7730173868388233,0.7808077065579845,0.049219706972526686,0.35038843509173506,0.15968877361985923,-0.13294411479295587
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,learned_features,0.4226289517470882,0.6211189329381253,0.18216382176548257,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,hddm_w,learned_features_label,0.4322181852498466,0.6787699147832531,0.19142234453794882,0.00958923350275842,0.05765098184512785,0.009258522772466249
radar__instance__moderate__a0,radar,instance,moderate,hellinger,none,0.4392320534223706,0.5848832901074472,0.16030607212739217,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,hellinger,oracle_rows,0.5120675565241078,0.6964801778436458,0.1424730755158206,0.07283550310173725,0.11159688773619858,-0.01783299661157156
radar__instance__moderate__a0,radar,instance,moderate,hellinger,random_rows,0.43030472462957786,0.5702852908484624,0.1620877809770764,-0.008927328792792733,-0.014597999258984862,0.0017817088496842326
radar__instance__moderate__a0,radar,instance,moderate,hellinger,oracle_blocks,0.7730173868388233,0.7808077065579845,0.049219706972526686,0.33378533341645267,0.19592441645053726,-0.11108636515486549
radar__instance__moderate__a0,radar,instance,moderate,hellinger,random_blocks,0.7730173868388233,0.7808077065579845,0.049219706972526686,0.33378533341645267,0.19592441645053726,-0.11108636515486549
radar__instance__moderate__a0,radar,instance,moderate,hellinger,learned_features,0.4392320534223706,0.5848832901074472,0.16030607212739217,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,hellinger,learned_features_label,0.5106921778277996,0.8069655427936273,0.16598526908576064,0.07146012440542904,0.2220822526861801,0.005679196958368465
radar__instance__moderate__a0,radar,instance,moderate,d3_oof,none,0.5016858738865684,0.7387180437198962,0.15752215204976058,0.0,0.0,0.0
radar__instance__moderate__a0,radar,instance,moderate,d3_oof,oracle_rows,0.5065000758763721,0.7419785105594665,0.15519956729927936,0.004814201989803757,0.003260466839570264,-0.0023225847504812214
