stream,detector,filter,population,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RBF_I,d3_oof,oracle_blocks,attacked,macro_recall,-0.11769165720275686,-0.32105947904618853,-0.004628979251927623,6,0
RBF_I,d3_oof,oracle_blocks,attacked,poison_admission_rate,-0.6981994493630199,-0.7606862352780898,-0.6595162622617387,6,0
RBF_I,d3_oof,oracle_blocks,attacked,roc_auc,-0.09298167963239952,-0.2636646485070911,-0.00175882567193227,6,0
RBF_I,d3_oof,oracle_blocks,attacked,scored_resets,-0.1111111111111111,-0.3333333333333333,0.3333333333333333,6,1
RBF_I,d3_oof,oracle_blocks,attacked,total_seconds,-11.320334655111159,-21.958136236332695,-6.142099917000451,6,0
RBF_I,d3_oof,oracle_blocks,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,filter_poison_recall,,,,0,0
RBF_I,d3_oof,oracle_blocks,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,poison_admission_rate,,,,0,0
RBF_I,d3_oof,oracle_blocks,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_blocks,clean,total_seconds,-7.37796138900012,-7.37796138900012,-7.37796138900012,1,0
RBF_I,d3_oof,oracle_rows,attacked,accuracy,0.009114205936218403,0.0010433024360341585,0.018635947297963844,6,6
RBF_I,d3_oof,oracle_rows,attacked,filter_legitimate_rejection,0.0,0.0,0.0,6,0
RBF_I,d3_oof,oracle_rows,attacked,filter_poison_recall,1.0,1.0,1.0,6,6
RBF_I,d3_oof,oracle_rows,attacked,legitimate_withhold_rate,-0.030985698446342403,-0.05986017419908359,0.0013171832006069566,6,1
RBF_I,d3_oof,oracle_rows,attacked,macro_f1,0.008747997621494677,0.0008915779268215221,0.018175758649956835,6,6
RBF_I,d3_oof,oracle_rows,attacked,macro_recall,0.00872608998105201,0.0009616863595101055,0.018686148961566024,6,6
RBF_I,d3_oof,oracle_rows,attacked,poison_admission_rate,-0.6981994493630199,-0.7606862352780898,-0.6595162622617387,6,0
RBF_I,d3_oof,oracle_rows,attacked,roc_auc,0.006552946371302252,-0.0017904665545040628,0.01188901788805071,6,5
RBF_I,d3_oof,oracle_rows,attacked,scored_resets,0.05555555555555555,-0.3333333333333333,0.6666666666666666,6,1
RBF_I,d3_oof,oracle_rows,attacked,total_seconds,-2.4898088773335174,-4.158103944333561,-0.3851567779990243,6,0
RBF_I,d3_oof,oracle_rows,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,filter_poison_recall,,,,0,0
RBF_I,d3_oof,oracle_rows,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,poison_admission_rate,,,,0,0
RBF_I,d3_oof,oracle_rows,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,d3_oof,oracle_rows,clean,total_seconds,-6.056907180667015,-6.056907180667015,-6.056907180667015,1,0
RBF_I,d3_oof,random_blocks,attacked,accuracy,-0.1321051151917022,-0.32696117804551544,-0.027065148379539144,6,0
RBF_I,d3_oof,random_blocks,attacked,filter_legitimate_rejection,0.6068356687528119,0.40057616537655266,1.0,6,6
RBF_I,d3_oof,random_blocks,attacked,filter_poison_recall,0.6051820485555685,0.38523301668775484,1.0,6,6
RBF_I,d3_oof,random_blocks,attacked,legitimate_withhold_rate,0.4491140721297661,0.28090176337265627,0.7634718568362562,6,6
RBF_I,d3_oof,random_blocks,attacked,macro_f1,-0.13569534018139445,-0.3360921703386639,-0.027803115400553358,6,0
RBF_I,d3_oof,random_blocks,attacked,macro_recall,-0.13028211579139873,-0.32105947904618853,-0.027342466855801478,6,0
RBF_I,d3_oof,random_blocks,attacked,poison_admission_rate,-0.41556036359517545,-0.7606862352780898,-0.20568046601962983,6,0
RBF_I,d3_oof,random_blocks,attacked,roc_auc,-0.10373501801651075,-0.2636646485070911,-0.018898561962675513,6,0
RBF_I,d3_oof,random_blocks,attacked,scored_resets,-0.16666666666666666,-0.3333333333333333,0.0,6,0
RBF_I,d3_oof,random_blocks,attacked,total_seconds,-11.50388836122218,-21.975663041999724,-6.249144486665805,6,0
RBF_I,d3_oof,random_blocks,clean,accuracy,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,filter_legitimate_rejection,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,filter_poison_recall,,,,0,0
RBF_I,d3_oof,random_blocks,clean,legitimate_withhold_rate,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,macro_f1,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,poison_admission_rate,,,,0,0
RBF_I,d3_oof,random_blocks,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,d3_oof,random_blocks,clean,total_seconds,-7.457046764001158,-7.457046764001158,-7.457046764001158,1,0
RBF_I,d3_oof,random_rows,attacked,accuracy,-0.018241610508289232,-0.03528443493818889,0.0008523521929958052,6,1
RBF_I,d3_oof,random_rows,attacked,filter_legitimate_rejection,0.20070933908551178,0.15033536566353656,0.25103767630734747,6,6
RBF_I,d3_oof,random_rows,attacked,filter_poison_recall,0.20149140153036127,0.15090952688938922,0.25177899438433937,6,6
RBF_I,d3_oof,random_rows,attacked,legitimate_withhold_rate,0.15091227355741713,0.09297247288647952,0.20530594010086559,6,6
