condition,stream,mode,level,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,hellinger,rows,0.024402013850195026,0.024000321940504055,0.022843796567236563,0.014936830162140757,-0.5455236058747397,-0.10083180768924627,0.847448089584154,-0.149844782297222,0,1.3079856250024022
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,hellinger,blocks,-0.0020397198121467897,-0.002567506469780434,-0.003919647732930187,0.004393710353181479,-0.3826458837431771,0.012686062246278773,0.5651623431433235,-0.099931346016079,1,-2.9035851249991538
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,d3_oof,rows,0.010885138899944358,0.011176190241227513,0.011115276195885038,0.01063756250411041,-0.5869675313713353,-0.1443723632890233,0.847448089584154,-0.149844782297222,0,2.4436877919997713
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,d3_oof,blocks,0.021700628830693347,0.02210614043536352,0.021571941737264178,0.02041564824337494,-0.453885543863598,-0.037719891745602196,0.5651623431433235,-0.099931346016079,0,-0.29448662499999045
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,adwin,rows,0.01572878983695558,0.013346737044832468,0.011579338418083673,0.01247863487561851,-0.4035445341060328,-0.28453476756720153,0.7499284017587897,-0.2512260780739428,0,1.820354875000703
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,adwin,blocks,0.04078649592812278,0.0428477818668882,0.043460231088815804,0.04156022937276127,-0.4347782139186981,-0.11884350785310771,0.6074226317828804,-0.2034866330682709,0,1.4889702919990668
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,hddm_w,rows,0.03401414293051008,0.035631907722415535,0.03365388678389247,0.023805697502901624,-0.4855876952104988,-0.18888656873091741,0.7499284017587897,-0.2512260780739428,0,-0.8975939159990993
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,hddm_w,blocks,0.028539824257439728,0.029263688644041608,0.028954180477506752,0.031222798013190167,-0.4347782139186981,-0.1670965229610985,0.6074226317828804,-0.2034866330682709,1,-0.9542335840014857
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,hellinger,rows,0.03111331839653264,0.030391401975563004,0.02727732723131271,0.015854719877611667,-0.5362624033423744,-0.2643080066143314,0.7499284017587897,-0.2512260780739428,0,1.233902540998315
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,hellinger,blocks,0.017800001128725484,0.019205907903641406,0.01837652203253659,0.029258200261293776,-0.4347782139186981,-0.1510121845917683,0.6074226317828804,-0.2034866330682709,0,2.335324875002698
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,d3_oof,rows,0.04280691457241059,0.04465982994185713,0.045281190349285017,0.029951868285534422,-0.4846442830910224,-0.18967103295314097,0.7499284017587897,-0.2512260780739428,-1,5.218981957998039
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,d3_oof,blocks,0.04437019938935949,0.04620144078362132,0.04755226828182846,0.042806211189346244,-0.4347782139186981,-0.13492784622243792,0.6074226317828804,-0.2034866330682709,0,1.0921233329991082
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,adwin,rows,0.02615468843320723,0.02541508985149299,0.026984604434321158,0.020220028043171356,-0.5258490036486108,-0.2060422058530759,0.8465618860510806,-0.1501244276328887,-2,4.146627291998811
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,adwin,blocks,0.018873183356559853,0.016946688302623913,0.015512770198807702,0.0162849940707277,-0.454448498456357,-0.06167628907027667,0.6738142015155768,-0.11949034441568779,0,-0.762545957999464
