condition,stream,base_key,detector,reference_policy,rl_policy,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,confirmed,rl,17.0,-0.02344645367448206,-0.023532265326601576,0.034818168049408516,0.017044267672348068,10.0,-28500.0,-1.4141359999775887
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,confirmed,rl,27.0,-0.0840357483613452,-0.08482189757175829,-0.1222758864412769,0.2539646694179883,81.0,-28500.0,-8.991598600056022
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,confirmed,rl,7.0,-0.08558830669519601,-0.08645299968319076,-0.052387122831226984,0.20768713973589575,69.0,-28500.0,-8.262553799897432
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,confirmed,rl_alarm,17.0,0.04430154634810057,0.04500092780625342,0.1920636790468338,-0.05356043968452012,-2.0,-28500.0,32.267181400209665
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,confirmed,rl_alarm,27.0,-0.08570686569523556,-0.08642882565159049,-0.2653181428066574,0.2810638694270214,88.0,-28500.0,-10.634507700102397
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,confirmed,rl_alarm,7.0,-0.08570686569523556,-0.08642882565159049,-0.2653181428066574,0.2810638694270214,88.0,-28500.0,-9.747890700120479
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl,17.0,0.049760906016587,0.05135694450763073,0.18166366558403313,-0.1589537450529846,-7.0,0.0,8.658406500006095
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl,27.0,-0.010828388670276134,-0.00993268773752598,0.02456961109334771,0.07796665669265562,64.0,0.0,1.0809438999276608
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl,7.0,-0.012380947004126952,-0.01156378984895845,0.09445837470339763,0.03168912701056309,52.0,0.0,1.809988700086251
RBF_I__base_s0__concept__severe__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,17.0,0.11750890603916964,0.11989013764048573,0.3389091765814584,-0.2295584524098528,-19.0,0.0,42.33972390019335
