condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,SEA_A__base_s1,17.0,0.01914605791587387,0.02213606996310835,-0.13415457306783662,0.1369692627640626,3.0,0.0,-19.62075360026211,,
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,SEA_A__base_s1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2362591999117285,,
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,SEA_A__base_s1,7.0,0.0011921369689281702,0.001293510419360988,-0.020474744065699158,0.02001054757853471,-23.0,0.0,-0.1299152998253703,,
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,SEA_A__base_s1,17.0,0.007998309025576078,0.009896812495746365,-0.05121548265282039,0.05254130179651528,1.0,0.0,-10.127328800270334,,
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,SEA_A__base_s1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11074640019796966,,
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,SEA_A__base_s1,7.0,0.0015091946734306916,0.0016921587672540372,0.0007754813041572772,0.0002595468087026598,-17.0,0.0,-0.2564604999497515,,
SEA_A__base_s1__splice__moderate__a1,SEA_A,splice,moderate,SEA_A__base_s1,17.0,0.016982634224013582,0.01990100562510766,-0.21512085441259132,0.21244961934617107,15.0,0.0,-24.224117900012057,,
SEA_A__base_s1__splice__moderate__a1,SEA_A,splice,moderate,SEA_A__base_s1,27.0,0.00025376921928643714,0.0003097526528944572,-0.006014614952220387,0.0036622381449967767,-3.0,0.0,-0.27421310008503674,,
SEA_A__base_s1__splice__moderate__a1,SEA_A,splice,moderate,SEA_A__base_s1,7.0,0.00028362442155538403,0.00031078410807539036,0.035919055649241194,-0.007822062994476797,-17.0,0.0,0.11344129987992346,,
SEA_A__base_s1__splice__severe__a1,SEA_A,splice,severe,SEA_A__base_s1,17.0,0.011165489717927413,0.013093919426059308,-0.19261915584962208,0.1552838506827432,8.0,0.0,-21.34548849985004,,
SEA_A__base_s1__splice__severe__a1,SEA_A,splice,severe,SEA_A__base_s1,27.0,0.000310466094280204,0.0003339511176517762,0.004057443978652098,0.0013604059767545196,-2.0,0.0,-0.8450708996970206,,
SEA_A__base_s1__splice__severe__a1,SEA_A,splice,severe,SEA_A__base_s1,7.0,0.0006039976743268394,0.0004953806765983781,0.032207013822246944,-0.0213770018007034,-25.0,0.0,-0.48972069984301925,,
SEA_A__base_s2__clean__none__anone,SEA_A,clean,none,SEA_A__base_s2,17.0,0.013536250264214789,0.015982820395849195,,0.1606425702811245,4.0,0.0,-21.834911100100722,,
SEA_A__base_s2__clean__none__anone,SEA_A,clean,none,SEA_A__base_s2,27.0,0.0,0.0,,0.0,0.0,0.0,-0.0380343000870198,,
SEA_A__base_s2__clean__none__anone,SEA_A,clean,none,SEA_A__base_s2,7.0,0.000194462058761391,0.00019599402054004678,,-0.02008032128514048,-5.0,0.0,0.6303713999222946,,
SEA_A__base_s2__concept__moderate__a2,SEA_A,concept,moderate,SEA_A__base_s2,17.0,0.00761519854266024,0.009011285894244603,-0.44586934560556746,0.28027414714753585,14.0,0.0,-24.481381899910048,,
SEA_A__base_s2__concept__moderate__a2,SEA_A,concept,moderate,SEA_A__base_s2,27.0,0.0024587634510288003,0.0026972169099315213,0.11081490627455379,-0.05127069293329478,-12.0,0.0,0.36055680015124203,,
SEA_A__base_s2__concept__moderate__a2,SEA_A,concept,moderate,SEA_A__base_s2,7.0,0.003409418955374055,0.0037202667697389113,0.1344146368840498,-0.08018356112565572,-14.0,0.0,0.5243655000813305,,
SEA_A__base_s2__concept__severe__a2,SEA_A,concept,severe,SEA_A__base_s2,17.0,0.004679253802952088,0.006105872189929307,-0.4836911678033174,0.3794541811305845,30.0,0.0,-20.52386080008,,
SEA_A__base_s2__concept__severe__a2,SEA_A,concept,severe,SEA_A__base_s2,27.0,0.00044026754720161154,0.00040346458534723517,0.08502147006819902,-0.05729687014929585,-16.0,0.0,0.5187359000556153,,
SEA_A__base_s2__concept__severe__a2,SEA_A,concept,severe,SEA_A__base_s2,7.0,0.00021448931786738346,0.00016367153363083808,0.08377536414919592,-0.05771455987356411,-23.0,0.0,0.996041400125252,,
SEA_A__base_s2__instance__moderate__a2,SEA_A,instance,moderate,SEA_A__base_s2,17.0,0.020845487212005964,0.02402785667360119,-0.20299971965236896,0.2051423735563521,4.0,0.0,-20.34003379987553,,
