rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
60000,57000,52250,0,0,0.8391369579912862,False,3000,none,True,56050,0.8904192685102587,0.8793979000544628,14226,13046,0.917053282721777,41824,3570,0.08535768936495793,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.02,1,0,complete,0.8793979000544628,0.8904192685102587,0.917053282721777,0.08535768936495793,0,57000,0.8603959159954684,0.0,0.0,0.0,0.0,0,0,-0.021258958004182205
60000,57000,43700,0,0,0.8232522499893093,False,3000,none,True,56050,0.8939161462979482,0.8840524522683355,14226,10826,0.7610009841135948,41824,9900,0.2367061973986228,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.02,5,4,complete,0.8969301601934021,0.904442462087422,0.6752425137072965,0.32110749808722266,1,58900,0.7523567500029458,-0.012877707925066595,-0.010526315789473717,0.08575847040629836,-0.08440130068859986,-1,-1900,0.07089549998636357
60000,57000,31350,0,0,0.7790311670105439,False,3000,none,True,56050,0.8919536128456735,0.8811766757223214,14226,7706,0.5416842401237172,41824,19130,0.4573928844682479,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,no_reset,0.05,5,4,complete,0.8787586992614507,0.8899197145405887,0.558132995922958,0.4402735271614384,0,58900,0.7867560419981601,0.002417976460870719,0.0020338983050848247,-0.016448755799240766,0.01711935730680947,0,-1900,-0.007724874987616204
60000,57000,47500,0,0,0.8535122089961078,False,3000,confirmed,True,56050,0.8911150758251561,0.880592161180783,14226,11761,0.8267257134823562,41824,7035,0.1682048584544759,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,confirmed,0.01,5,4,complete,0.880592161180783,0.8911150758251561,0.8267257134823562,0.1682048584544759,0,57000,0.8535122089961078,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,42750,0,0,0.7956887089967495,False,3000,confirmed,True,56050,0.8956289027653881,0.8856521903994463,14226,10552,0.7417404751862786,41824,10576,0.2528691660290742,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,confirmed,0.05,1,0,complete,0.8856521903994463,0.8956289027653881,0.7417404751862786,0.2528691660290742,0,57000,0.7956887089967495,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,56050,0,0,0.8853964160080068,False,3000,confirmed,True,56050,0.8883140053523639,0.876981384784705,14226,14001,0.9841838886545762,41824,725,0.017334544758990055,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,confirmed,0.01,1,0,complete,0.876981384784705,0.8883140053523639,0.9841838886545762,0.017334544758990055,0,57000,0.8853964160080068,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,52250,0,0,0.8603959159954684,False,3000,confirmed,True,56050,0.8904192685102587,0.8793979000544628,14226,13046,0.917053282721777,41824,3570,0.08535768936495793,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,confirmed,0.02,1,0,complete,0.8793979000544628,0.8904192685102587,0.917053282721777,0.08535768936495793,0,57000,0.8603959159954684,0.0,0.0,0.0,0.0,0,0,0.0
60000,58900,39900,2850,1,0.7523567500029458,False,3000,confirmed,True,56050,0.904442462087422,0.8969301601934021,14226,9606,0.6752425137072965,41824,13430,0.32110749808722266,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,confirmed,0.02,5,4,complete,0.8969301601934021,0.904442462087422,0.6752425137072965,0.32110749808722266,1,58900,0.7523567500029458,0.0,0.0,0.0,0.0,0,0,0.0
60000,57000,53200,6650,7,0.7144735830079298,False,3000,rl,True,56050,0.8965923282783229,0.888060601903365,14226,13301,0.9349782089132574,41824,2875,0.06874043611323642,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,error_rule,0.01,1,0,complete,0.876981384784705,0.8883140053523639,0.9841838886545762,0.017334544758990055,0,57000,0.8853964160080068,0.01107921711866,0.00827832292595898,-0.04920567974131873,0.051405891354246364,7,0,-0.17092283300007693
60000,57000,44650,3800,4,0.7049516669940203,False,3000,rl,True,56050,0.9042283675289919,0.896244586927261,14226,11057,0.77723885842823,41824,9181,0.21951511094108644,SEA_A__s115__instance__severe,SEA_A,instance,severe,115,error_rule,0.01,5,4,complete,0.880592161180783,0.8911150758251561,0.8267257134823562,0.1682048584544759,0,57000,0.8535122089961078,0.01565242574647807,0.013113291703835794,-0.0494868550541262,0.05131025248661056,4,0,-0.14856054200208746
