stream,mode,level,detector,filter,accuracy_difference,macro_f1_difference,macro_recall_difference,roc_auc_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference,filter_poison_recall_difference,filter_legitimate_rejection_difference,scored_resets_difference,total_seconds_difference,matched_assignments
SEA_A,splice,severe,adwin,learned_features,-0.0019737900896149943,-0.0021958270531893254,-0.0023815423190364595,-0.0003733265092769796,-0.03421846895219294,0.019888417105320993,0.05041403104632957,0.0501368856927795,0.0,0.21983961099977023,3
SEA_A,splice,severe,adwin,learned_features_label,-0.004765201463884853,-0.00543576101429355,-0.00625209016465748,-0.0028521483978181847,-0.007224678703437608,-0.002526599091819103,0.048601369660936034,0.049132025043547765,0.0,-0.23163193066708754,3
SEA_A,splice,severe,adwin,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,severe,adwin,oracle_blocks,-0.025008912733196016,-0.02954369459999273,-0.03530734656533833,-0.01196576788359934,-0.8144522683105234,0.6010328913645789,1.0,0.7283008482366871,-3.0,-2.632214152667075,3
SEA_A,splice,severe,adwin,oracle_rows,0.0034397505146022875,0.003701593883317663,0.0034815029038014846,-0.0001996543731527615,-0.8144522683105234,-0.02943795635725857,1.0,0.0,-1.0,-0.9932603613330381,3
SEA_A,splice,severe,adwin,random_blocks,-0.02167799415498343,-0.02505775572976539,-0.029089784981383666,-0.007456443708305227,-0.6565414716049327,0.6718482490078642,0.8054097895356858,0.7935387300800322,-3.0,-2.8978981110000555,3
SEA_A,splice,severe,adwin,random_rows,-0.003057267229871948,-0.00324662347330984,-0.002879203483616625,-0.0013350825448049293,-0.18501741918989245,0.1985962115553954,0.25017937059308576,0.25139144636144345,0.0,-1.0827420000005077,3
SEA_A,splice,severe,d3_oof,learned_features,-0.008350892509185673,-0.009663368663450004,-0.011332141321220549,-0.0021873762878710235,-0.03234152869233109,0.02477089165701826,0.05041403104632957,0.0501368856927795,-0.6666666666666666,1.2832221806675073,3
SEA_A,splice,severe,d3_oof,learned_features_label,-0.007989930546450252,-0.009294908260868762,-0.011070524428335005,-0.004378336780441194,-0.011944578493635541,0.006732977709158469,0.048601369660936034,0.049132025043547765,-0.6666666666666666,-0.7149163466668446,3
SEA_A,splice,severe,d3_oof,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,severe,d3_oof,oracle_blocks,-0.015233030467192895,-0.018504216947074936,-0.02311479742144788,-0.009910722410391074,-0.8851830671912181,0.6595452688915534,1.0,0.7283008482366871,-0.6666666666666666,-4.889152902332474,3
