stream,mode,level,detector,filter,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,scored_resets,total_seconds
RBF_I,concept,moderate,hellinger,none,0.6449839602508408,0.6438196210498387,0.643688445388248,0.8477128903099832,0.6524921161974607,0.2599090482949118,0.0,0.0,0.6666666666666666,23.37980226399971
RBF_I,concept,moderate,hellinger,oracle_blocks,0.616145237715298,0.6143257219789399,0.6146269364434991,0.8314984228448932,0.0,0.4688970888000558,1.0,0.29239601351397787,1.6666666666666667,15.87392065299961
RBF_I,concept,moderate,hellinger,oracle_rows,0.669851617294575,0.6691875886074378,0.6690201601324793,0.8629920388856447,0.0,0.2319245489282966,1.0,0.0,0.0,24.11794040300083
RBF_I,concept,moderate,hellinger,random_blocks,0.6258773467934969,0.6247277192636803,0.6256027008646509,0.833645484523419,0.4606587449695921,0.5158956274106113,0.3852330166877549,0.4013656355198234,0.0,18.184591819666213
RBF_I,concept,moderate,hellinger,random_rows,0.6475290688246456,0.6467866033310264,0.6474219975622878,0.8476599419051322,0.5583819831782096,0.34507634821987815,0.15090952688938924,0.15048839310512138,1.0,21.485046235999107
RBF_I,concept,severe,adwin,learned_features,0.6230409293647341,0.6210093006430921,0.6208078876163073,0.8313514557856075,0.5509987445443006,0.3149656647529436,0.0644432595637859,0.057385098328710006,2.3333333333333335,20.518177277665625
RBF_I,concept,severe,adwin,learned_features_label,0.6186447063210183,0.6173162665161431,0.6182268122881149,0.8274816985185769,0.5459795041705565,0.30396892091666117,0.03416674251139184,0.02599603361202446,1.6666666666666667,21.243520541333055
RBF_I,concept,severe,adwin,none,0.6343373899639495,0.6333736414748196,0.6344721521230156,0.8396060918508076,0.5048966040736985,0.27551894742164257,0.0,0.0,1.6666666666666667,22.92405683299997
RBF_I,concept,severe,adwin,oracle_blocks,0.6267770571562696,0.6255139672445834,0.6259583377688444,0.837804025003897,0.0,0.44050731636490154,1.0,0.2277904919255085,0.3333333333333333,17.07631769466631
RBF_I,concept,severe,adwin,oracle_rows,0.6548549438361816,0.653522304133859,0.6530384497329229,0.8522744905792857,0.0,0.20674413921300525,1.0,0.0,0.3333333333333333,21.438544305666557
RBF_I,concept,severe,adwin,random_blocks,0.6174335212321629,0.6156135449746185,0.6164201795611349,0.8234583458760832,0.4029826790245681,0.5648904835282881,0.42083054597163233,0.4219711840826812,0.0,17.11488788866639
RBF_I,concept,severe,adwin,random_rows,0.6107633310588859,0.6097878475375879,0.6111700349519325,0.8222541240248598,0.4114728951396378,0.45772485698043086,0.2512566492726558,0.25103767630734747,1.0,18.702316430666542
RBF_I,concept,severe,d3_oof,learned_features,0.6466903428205216,0.6461880563811359,0.6475651939272424,0.8492116927703899,0.6827323191536561,0.2546930910620607,0.0644432595637859,0.057385098328710006,0.0,25.363423208331977
RBF_I,concept,severe,d3_oof,learned_features_label,0.6611633159399003,0.6600919707628442,0.6609880379466585,0.8524707857214722,0.6602102636730157,0.23990879127661704,0.03416674251139184,0.02599603361202446,0.0,25.83987256966672
RBF_I,concept,severe,d3_oof,none,0.6643674107135552,0.6634201931715787,0.6637274631274059,0.8557809111431545,0.6778536204890852,0.23162199092501337,0.0,0.0,0.0,25.921772291667367
RBF_I,concept,severe,d3_oof,oracle_blocks,0.6274873920420257,0.6265089625261648,0.6278657903323492,0.8401638979361286,0.0,0.4279941777531628,1.0,0.2277904919255085,0.3333333333333333,16.98984769466612
RBF_I,concept,severe,d3_oof,oracle_rows,0.6680032577924359,0.667283755748508,0.6673980157934821,0.859354509171462,0.0,0.23293917412562035,1.0,0.0,0.0,22.981172791332938
RBF_I,concept,severe,d3_oof,random_blocks,0.6174335212321629,0.6156135449746185,0.6164201795611349,0.8234583458760832,0.4029826790245681,0.5648904835282881,0.42083054597163233,0.4219711840826812,0.0,17.34361600000011
RBF_I,concept,severe,d3_oof,random_rows,0.6290829757753663,0.6275596861630888,0.6273931825915771,0.8344287118359741,0.4600853384502177,0.43692793102587896,0.2512566492726558,0.25103767630734747,0.3333333333333333,19.5873485693337
RBF_I,concept,severe,hddm_w,learned_features,0.5953925889444068,0.5930109590201768,0.5927389505157623,0.8136145230232908,0.5262767496108086,0.32246792154253584,0.0644432595637859,0.057385098328710006,4.0,19.34438516666584
RBF_I,concept,severe,hddm_w,learned_features_label,0.6032349468733833,0.601133328037136,0.6017544368909027,0.8182783324714032,0.5038718921593481,0.34272892345086325,0.03416674251139184,0.02599603361202446,2.3333333333333335,20.380941916666416
RBF_I,concept,severe,hddm_w,none,0.6195118508963208,0.6169692267661221,0.6163399373571393,0.8286724057803533,0.5909862834020404,0.29723483578339455,0.0,0.0,3.3333333333333335,20.3078978613327
RBF_I,concept,severe,hddm_w,oracle_blocks,0.6088514864834734,0.6069904741153441,0.6077932817852016,0.8263041644283934,0.0,0.4262092283152103,1.0,0.2277904919255085,2.0,16.117743819332947
RBF_I,concept,severe,hddm_w,oracle_rows,0.6188411621657938,0.6176177428443533,0.6168894092551132,0.8321099964516966,0.0,0.29309788317871793,1.0,0.0,3.3333333333333335,18.28095627800091
RBF_I,concept,severe,hddm_w,random_blocks,0.6174335212321629,0.6156135449746185,0.6164201795611349,0.8234583458760832,0.4029826790245681,0.5648904835282881,0.42083054597163233,0.4219711840826812,0.0,17.794703527999445
