dataset,detector,policy,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
SEA,hddm_w,immediate,poison_admission_rate,-47.67414187842874,-80.76501756367968,-13.60858600430461,6,0
SEA,hddm_w,immediate,resets_per_100k,-16.247619047619047,-53.6,-0.1333333333333333,7,0
SEA,hddm_w,immediate,roc_auc,0.01147921657397657,-0.0016556980370584506,0.03990194673926269,7,6
SEA,hddm_w,immediate,seconds_per_100k,1.9459990247729277,0.437387160025537,4.175803320016712,7,7
SEA,hellinger,confirmed,accuracy,-0.5084466662900907,-1.1259968658500208,0.610831035791326,7,2
SEA,hellinger,confirmed,clean_withhold_rate,16.428004019623355,11.646586345381523,25.427051032072665,7,7
SEA,hellinger,confirmed,macro_f1,-0.627421663086512,-1.3242382139251514,0.6425350026921054,7,2
SEA,hellinger,confirmed,macro_recall,-0.865476984939089,-1.6554575458063752,0.5563702189300468,7,2
SEA,hellinger,confirmed,poison_admission_rate,-19.930550361875177,-30.790130014376842,-12.213419265487731,6,0
SEA,hellinger,confirmed,resets_per_100k,-0.8952380952380953,-2.2666666666666666,0.5333333333333333,7,1
SEA,hellinger,confirmed,roc_auc,-0.000828930611786307,-0.00461358693335312,0.004431907964280946,7,2
SEA,hellinger,confirmed,seconds_per_100k,3.256374986669315,2.099793319962919,3.926679519967486,7,7
SEA,hellinger,immediate,accuracy,1.2376974286425748,0.6980547865515755,2.1502751809586975,7,7
SEA,hellinger,immediate,clean_withhold_rate,35.39925263393717,30.08485773076974,44.96079267096483,7,7
SEA,hellinger,immediate,macro_f1,1.3575147964012533,0.7468579464775305,2.318746797808117,7,7
SEA,hellinger,immediate,macro_recall,1.3591382188368588,0.6730080655997303,2.1970516720628477,7,7
SEA,hellinger,immediate,poison_admission_rate,-39.667033319296756,-45.037025797241675,-32.35965598098642,6,0
SEA,hellinger,immediate,resets_per_100k,-3.9428571428571426,-5.599999999999999,-1.9999999999999998,7,0
SEA,hellinger,immediate,roc_auc,0.008761371597614883,0.005284612501361215,0.013597996805578124,7,7
SEA,hellinger,immediate,seconds_per_100k,1.2963564399851575,0.8848788132891062,1.8394310533379514,7,7
SEA,none,none,accuracy,0.1486052997536262,-0.1953717586399691,0.41329752552714166,7,5
SEA,none,none,clean_withhold_rate,10.994288193273809,7.364372018364537,16.98868850952631,7,7
SEA,none,none,macro_f1,0.17242081778751822,-0.21893476961419486,0.473168950332703,7,5
