dataset,comparison_detector,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,adwin,4,concept,severe,immediate_screened,seconds_per_100k,110.2493115187831,1.254935216647609,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,accuracy,0.6913585177117348,0.006529850728700721,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,macro_f1,0.6289994780224046,0.006987495182101526,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,macro_recall,0.661892317413341,0.005396646745096208,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,resets_per_100k,86.22948181857565,1.4875828619787754,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,roc_auc,0.8451906561627235,0.003874826336065651,3,3
RADAR,adwin,4,concept,severe,immediate_unscreened,seconds_per_100k,102.55648418884569,1.6850231702218266,3,3
RADAR,adwin,4,concept,severe,none_screened,accuracy,0.6541259894541581,0.01508120862985079,3,3
RADAR,adwin,4,concept,severe,none_screened,clean_withhold_rate,0.0804544925000583,0.008485546388820306,3,3
RADAR,adwin,4,concept,severe,none_screened,macro_f1,0.44681212831556727,0.00797856298038056,3,3
RADAR,adwin,4,concept,severe,none_screened,macro_recall,0.45468243333521907,0.02202789732193692,3,3
RADAR,adwin,4,concept,severe,none_screened,poison_admission_rate,0.9051035399919395,0.016989948054140763,3,3
RADAR,adwin,4,concept,severe,none_screened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,4,concept,severe,none_screened,roc_auc,0.8936466385503463,0.003047011207409028,3,3
RADAR,adwin,4,concept,severe,none_screened,seconds_per_100k,306.65187996774193,15.140610017292122,3,3
RADAR,adwin,4,concept,severe,none_unscreened,accuracy,0.6532112777500655,0.0047556905095268096,3,3
RADAR,adwin,4,concept,severe,none_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,4,concept,severe,none_unscreened,macro_f1,0.4517309588828571,0.012889308348720244,3,3
RADAR,adwin,4,concept,severe,none_unscreened,macro_recall,0.4668268216679528,0.018288802415803045,3,3
RADAR,adwin,4,concept,severe,none_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,4,concept,severe,none_unscreened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,4,concept,severe,none_unscreened,roc_auc,0.9004584366612568,0.01300792426162766,3,3
RADAR,adwin,4,concept,severe,none_unscreened,seconds_per_100k,129.42042762670158,6.267132717258669,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,accuracy,0.6444198520905631,0.012734333375083572,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,clean_withhold_rate,0.1778437362439859,0.014274654767836804,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,macro_f1,0.5116848032816823,0.00835682046553728,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,macro_recall,0.5003591869565546,0.00855451868642628,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,poison_admission_rate,0.7904109789897616,0.010944792161340993,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,resets_per_100k,6.80759066988755,0.35730584598112425,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,roc_auc,0.854552088173608,0.01780069908497239,3,3
RADAR,adwin,5,splice,moderate,confirmed_screened,seconds_per_100k,89.3431582819876,3.365327129167607,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,accuracy,0.6484070949269743,0.021781062742559896,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,macro_f1,0.53944759741722,0.030700705294023096,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,macro_recall,0.52986573943148,0.03556035026062947,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,resets_per_100k,8.457915680769382,0.5457936951529107,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,roc_auc,0.8377105298052694,0.02151099801329651,3,3
RADAR,adwin,5,splice,moderate,confirmed_unscreened,seconds_per_100k,74.0932385771921,6.203874779586088,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,accuracy,0.5921055194840719,0.016014705884347565,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,clean_withhold_rate,0.40414364468776515,0.012028051860301066,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,macro_f1,0.4717926197251277,0.019362992373241135,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,macro_recall,0.45900468742891004,0.026864177734911215,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,poison_admission_rate,0.5062684774802625,0.005899727936138056,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,resets_per_100k,30.66853978555402,1.1730181562728499,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,roc_auc,0.7443755465533407,0.010800519490706768,3,3
RADAR,adwin,5,splice,moderate,immediate_screened,seconds_per_100k,43.44644355649496,1.272339360664952,3,3
RADAR,adwin,5,splice,moderate,immediate_unscreened,accuracy,0.6702492856879857,0.020002083658192987,3,3
